customer_id,customer_name,segment,industry,region,country,signup_date,employee_count,annual_revenue,engagement_score,customer_health_score,churn_risk_score,churn_flag
CUS-000001,Customer 00001,SMB,Government,Europe,Country-01,2025-03-21 00:00:00+00:00,4662,3268098,53.96,8.62,100.0,1
CUS-000002,Customer 00002,Mid-Market,Technology,Europe,Country-02,2024-10-28 00:00:00+00:00,19327,16025885,75.12,43.53,62.12,1
CUS-000003,Customer 00003,SMB,Retail,North America,Country-03,2023-07-06 00:00:00+00:00,8323,3134033,54.12,32.65,65.78,1
CUS-000004,Customer 00004,Mid-Market,Education,Middle East & Africa,Country-04,2025-06-15 00:00:00+00:00,13475,24289792,55.52,21.33,79.8,1
CUS-000005,Customer 00005,Enterprise,Government,North America,Country-05,2025-06-12 00:00:00+00:00,22717,687997643,79.93,42.52,62.48,1
CUS-000006,Customer 00006,SMB,Healthcare,North America,Country-06,2023-02-06 00:00:00+00:00,4710,2394501,22.53,12.89,92.34,1
CUS-000007,Customer 00007,SMB,Telecom,North America,Country-07,2023-01-24 00:00:00+00:00,10695,357108,19.38,0.0,100.0,1
CUS-000008,Customer 00008,SMB,Retail,Middle East & Africa,Country-08,2023-08-09 00:00:00+00:00,4391,4972128,50.54,10.21,99.99,1
CUS-000009,Customer 00009,Enterprise,Education,Latin America,Country-09,2024-12-15 00:00:00+00:00,10935,969851692,90.31,77.56,31.17,0
CUS-000010,Customer 00010,Mid-Market,Logistics,Europe,Country-10,2024-06-21 00:00:00+00:00,7548,20048172,40.76,29.59,65.06,1
CUS-000011,Customer 00011,Mid-Market,Retail,Middle East & Africa,Country-11,2024-04-06 00:00:00+00:00,22889,10825765,58.21,24.82,70.26,1
CUS-000012,Customer 00012,SMB,Logistics,North America,Country-12,2024-01-09 00:00:00+00:00,7592,3871325,50.14,32.18,60.88,1
CUS-000013,Customer 00013,Mid-Market,Telecom,Middle East & Africa,Country-13,2024-03-07 00:00:00+00:00,15362,9145346,49.4,27.86,75.1,1
CUS-000014,Customer 00014,SMB,Technology,North America,Country-14,2024-07-27 00:00:00+00:00,3438,4831241,39.25,6.85,89.87,1
CUS-000015,Customer 00015,Mid-Market,Healthcare,Europe,Country-15,2023-02-27 00:00:00+00:00,11414,2922644,66.59,25.63,78.54,1
