date,year,quarter,month,week,weekday,weekend,holiday_flag,festival,financial_quarter
2023-01-01,2023,1,1,52,6,True,False,Christmas,1
2023-01-02,2023,1,1,1,0,False,False,None,1
2023-01-03,2023,1,1,1,1,False,False,None,1
2023-01-04,2023,1,1,1,2,False,False,None,1
2023-01-05,2023,1,1,1,3,False,False,None,1
2023-01-06,2023,1,1,1,4,False,False,None,1
2023-01-07,2023,1,1,1,5,True,True,None,1
2023-01-08,2023,1,1,1,6,True,True,None,1
2023-01-09,2023,1,1,2,0,False,False,None,1
2023-01-10,2023,1,1,2,1,False,True,None,1
2023-01-11,2023,1,1,2,2,False,False,None,1
2023-01-12,2023,1,1,2,3,False,True,None,1
2023-01-13,2023,1,1,2,4,False,False,Carnival,1
2023-01-14,2023,1,1,2,5,True,False,None,1
2023-01-15,2023,1,1,2,6,True,False,None,1
2023-01-16,2023,1,1,3,0,False,False,None,1
2023-01-17,2023,1,1,3,1,False,False,None,1
2023-01-18,2023,1,1,3,2,False,False,Carnival,1
2023-01-19,2023,1,1,3,3,False,False,None,1
2023-01-20,2023,1,1,3,4,False,False,None,1
2023-01-21,2023,1,1,3,5,True,False,None,1
2023-01-22,2023,1,1,3,6,True,False,None,1
2023-01-23,2023,1,1,4,0,False,False,None,1
2023-01-24,2023,1,1,4,1,False,False,None,1
2023-01-25,2023,1,1,4,2,False,False,None,1
2023-01-26,2023,1,1,4,3,False,False,None,1
2023-01-27,2023,1,1,4,4,False,False,None,1
2023-01-28,2023,1,1,4,5,True,False,Christmas,1
2023-01-29,2023,1,1,4,6,True,True,None,1
2023-01-30,2023,1,1,5,0,False,False,None,1
2023-01-31,2023,1,1,5,1,False,False,None,1
2023-02-01,2023,1,2,5,2,False,False,None,1
2023-02-02,2023,1,2,5,3,False,False,None,1
2023-02-03,2023,1,2,5,4,False,False,None,1
2023-02-04,2023,1,2,5,5,True,False,None,1
2023-02-05,2023,1,2,5,6,True,False,None,1
2023-02-06,2023,1,2,6,0,False,True,None,1
2023-02-07,2023,1,2,6,1,False,False,None,1
2023-02-08,2023,1,2,6,2,False,False,Christmas,1
2023-02-09,2023,1,2,6,3,False,False,None,1
2023-02-10,2023,1,2,6,4,False,False,None,1
2023-02-11,2023,1,2,6,5,True,False,None,1
2023-02-12,2023,1,2,6,6,True,False,None,1
2023-02-13,2023,1,2,7,0,False,False,None,1
2023-02-14,2023,1,2,7,1,False,False,None,1
2023-02-15,2023,1,2,7,2,False,False,None,1
2023-02-16,2023,1,2,7,3,False,False,Black Friday,1
2023-02-17,2023,1,2,7,4,False,False,None,1
2023-02-18,2023,1,2,7,5,True,False,None,1
2023-02-19,2023,1,2,7,6,True,True,Carnival,1
2023-02-20,2023,1,2,8,0,False,False,None,1
2023-02-21,2023,1,2,8,1,False,False,None,1
2023-02-22,2023,1,2,8,2,False,False,None,1
2023-02-23,2023,1,2,8,3,False,False,None,1
2023-02-24,2023,1,2,8,4,False,False,None,1
2023-02-25,2023,1,2,8,5,True,False,None,1
2023-02-26,2023,1,2,8,6,True,False,None,1
2023-02-27,2023,1,2,9,0,False,False,None,1
2023-02-28,2023,1,2,9,1,False,False,None,1
2023-03-01,2023,1,3,9,2,False,False,None,1
2023-03-02,2023,1,3,9,3,False,False,None,1
2023-03-03,2023,1,3,9,4,False,False,None,1
2023-03-04,2023,1,3,9,5,True,False,None,1
2023-03-05,2023,1,3,9,6,True,False,None,1
2023-03-06,2023,1,3,10,0,False,False,None,1
2023-03-07,2023,1,3,10,1,False,False,None,1
2023-03-08,2023,1,3,10,2,False,False,None,1
2023-03-09,2023,1,3,10,3,False,False,Black Friday,1
2023-03-10,2023,1,3,10,4,False,False,None,1
2023-03-11,2023,1,3,10,5,True,False,None,1
2023-03-12,2023,1,3,10,6,True,False,None,1
2023-03-13,2023,1,3,11,0,False,False,None,1
2023-03-14,2023,1,3,11,1,False,False,Carnival,1
2023-03-15,2023,1,3,11,2,False,False,None,1
2023-03-16,2023,1,3,11,3,False,False,None,1
2023-03-17,2023,1,3,11,4,False,False,None,1
2023-03-18,2023,1,3,11,5,True,False,None,1
2023-03-19,2023,1,3,11,6,True,False,None,1
