month,revenue,profit,orders,customers,growth_rate,average_order_value,customer_lifetime_value,customer_retention,inventory_turnover,operating_margin,net_margin
2020-01,962901.6,238371.21,7036,2575,0.1176,84.07,579.93,0.7402,8.0,0.2976,0.2476
2020-02,1013895.51,294269.42,8206,2468,0.1125,112.5,1203.59,0.7801,5.5,0.3402,0.2902
2020-03,1009499.6,244778.24,9697,4048,0.0962,106.82,1102.39,0.896,5.95,0.2925,0.2425
2020-04,1083027.52,245150.75,10942,5042,0.0027,92.09,1036.31,0.851,7.93,0.2764,0.2264
2020-05,1100648.18,315696.68,20745,4905,0.0381,100.17,1082.65,0.8569,8.11,0.3368,0.2868
2020-06,1080762.03,181593.99,16566,3127,-0.016,97.5,917.52,0.8384,11.54,0.218,0.168
2020-07,1080461.63,263895.65,19129,3759,-0.0312,106.68,1350.6,0.8053,4.16,0.2942,0.2442
2020-08,1138128.69,195117.76,10922,3000,0.0957,113.67,1237.13,0.8933,10.77,0.2214,0.1714
2020-09,1196260.6,301648.68,8166,3118,-0.0224,82.96,1025.61,0.9312,8.08,0.3022,0.2522
2020-10,1137795.87,303842.44,8793,2427,-0.034,98.3,753.5,0.8142,10.29,0.317,0.267
2020-11,1153285.03,173849.8,9627,4544,-0.0386,112.5,1159.27,0.871,5.29,0.2007,0.1507
2020-12,1256474.05,240333.44,11423,3537,0.0304,94.5,612.93,0.8154,8.29,0.2413,0.1913
2021-01,1191639.34,321713.42,10941,5211,0.1359,117.4,1128.81,0.7151,8.96,0.32,0.27
2021-02,1251735.73,292256.46,13836,2736,0.055,89.08,882.87,0.8584,5.59,0.2835,0.2335
2021-03,1285967.19,315713.0,10860,4146,0.108,109.11,544.57,0.847,8.38,0.2955,0.2455
2021-04,1294474.28,263665.88,11979,3582,0.0389,113.92,1369.67,0.8556,6.0,0.2537,0.2037
2021-05,1312349.85,288733.12,13019,2861,0.0632,82.85,1093.85,0.7624,9.38,0.27,0.22
2021-06,1347048.43,208119.52,12243,4449,0.0212,89.89,856.27,0.8082,4.93,0.2045,0.1545
2021-07,1320448.25,237535.78,10539,3966,0.1311,116.88,1048.39,0.8666,10.4,0.2299,0.1799
2021-08,1352528.92,318954.96,9282,6241,-0.0159,90.61,1377.6,0.7023,6.17,0.2858,0.2358
2021-09,1398428.62,277869.23,13607,3587,0.1292,107.17,1375.92,0.7737,10.4,0.2487,0.1987
2021-10,1436380.92,365437.8,11923,6569,0.148,80.53,813.74,0.7934,7.74,0.3044,0.2544
2021-11,1481526.01,353508.25,26604,3319,-0.0188,94.18,1294.23,0.8142,10.73,0.2886,0.2386
2021-12,1506285.99,255855.65,28330,3049,0.0159,93.26,529.21,0.7534,8.92,0.2199,0.1699
2022-01,1439108.99,365985.03,9797,3682,0.1156,112.23,1114.58,0.7604,5.0,0.3043,0.2543
2022-02,1519098.16,276203.33,18033,6182,-0.0416,104.29,672.29,0.8155,9.44,0.2318,0.1818
2022-03,1523519.24,344787.57,16319,6896,0.1153,110.5,506.9,0.7503,10.61,0.2763,0.2263
2022-04,1557861.2,279303.46,18048,4249,0.0253,116.98,594.61,0.9229,11.63,0.2293,0.1793
2022-05,1564240.17,380736.55,11075,4269,0.1487,98.65,963.94,0.9265,4.48,0.2934,0.2434
2022-06,1559300.15,249561.61,19723,4041,-0.0228,95.24,965.63,0.7681,7.19,0.21,0.16
2022-07,1584587.47,430969.34,11407,6596,-0.039,90.18,1227.08,0.7269,4.92,0.322,0.272
2022-08,1663788.07,453430.38,15425,3890,0.0923,116.2,1499.48,0.7975,5.99,0.3225,0.2725
2022-09,1592727.06,272423.43,15816,3772,0.0816,89.45,663.31,0.7038,6.48,0.221,0.171
2022-10,1622162.22,410465.11,29476,3645,0.0112,102.69,1317.96,0.7885,10.63,0.303,0.253
2022-11,1727578.82,325256.9,20819,4586,0.1081,98.58,778.81,0.9294,10.71,0.2383,0.1883
2022-12,1715558.8,333591.87,23812,5300,-0.0416,85.07,1325.6,0.8835,4.89,0.2445,0.1945
2023-01,1732364.49,381131.53,20065,5992,-0.0231,112.85,1110.2,0.899,7.15,0.27,0.22
2023-02,1729585.83,341599.1,20849,5461,0.0903,90.92,962.75,0.9012,6.15,0.2475,0.1975
2023-03,1774877.97,276173.59,25323,3982,0.1188,86.35,1217.97,0.8963,11.25,0.2056,0.1556
2023-04,1811240.85,517966.28,27980,4471,0.1106,114.75,915.49,0.8956,8.65,0.336,0.286
2023-05,1768774.52,274234.61,32008,5475,0.056,111.79,594.81,0.8829,5.26,0.205,0.155
2023-06,1814262.6,383648.86,26716,5288,0.0485,81.37,1011.18,0.9091,6.85,0.2615,0.2115
2023-07,1820575.0,542853.5,15813,7488,0.0268,93.02,1487.95,0.8782,6.41,0.3482,0.2982
2023-08,1875674.88,315846.77,14717,5760,0.1133,103.9,1313.09,0.887,5.89,0.2184,0.1684
2023-09,1894887.9,527682.48,27735,7545,-0.0163,88.88,705.6,0.9125,9.38,0.3285,0.2785
2023-10,1911351.2,427402.67,27784,4352,0.0339,94.74,898.77,0.9153,8.81,0.2736,0.2236
