inventory_id,product_id,warehouse_id,warehouse_name,current_stock,minimum_stock,maximum_stock,reorder_level,lead_time_days,stockout_risk,inventory_turnover,last_restock_date
INV000001,PRD-00001,W04,WH_RIO,273,45,453,90,5,0.3987,6.23,2026-07-14
INV000002,PRD-00002,W04,WH_SAO_PAULO,230,34,348,69,5,0.341,4.39,2026-08-04
INV000003,PRD-00003,W04,WH_RIO,421,51,515,103,7,0.1841,5.94,2026-07-23
INV000004,PRD-00004,W03,WH_SAO_PAULO,138,25,259,51,5,0.4692,2.91,2026-07-17
INV000005,PRD-00005,W03,WH_RIO,452,65,650,130,7,0.3057,8.13,2026-07-19
INV000006,PRD-00006,W02,WH_SAO_PAULO,153,21,210,42,8,0.2749,2.02,2026-07-21
INV000007,PRD-00007,W01,WH_RIO,272,60,609,121,13,0.5541,7.59,2026-07-23
INV000008,PRD-00008,W03,WH_BAHIA,234,27,277,55,12,0.1583,3.08,2026-07-25
INV000009,PRD-00009,W03,WH_MINAS,119,29,298,59,2,0.602,3.71,2026-07-22
INV000010,PRD-00010,W03,WH_BAHIA,193,47,476,95,9,0.5954,6.36,2026-07-16
INV000011,PRD-00011,W01,WH_SAO_PAULO,439,64,643,128,7,0.3183,8.24,2026-07-14
INV000012,PRD-00012,W01,WH_BAHIA,134,18,184,36,12,0.2757,1.88,2026-07-13
INV000013,PRD-00013,W04,WH_MINAS,292,45,457,91,12,0.3624,6.04,2026-07-14
INV000014,PRD-00014,W01,WH_RIO,232,37,373,74,11,0.3797,3.88,2026-07-16
INV000015,PRD-00015,W01,WH_MINAS,161,23,234,46,11,0.3149,2.83,2026-08-04
INV000016,PRD-00016,W01,WH_BAHIA,272,45,453,90,7,0.4009,5.63,2026-07-20
INV000017,PRD-00017,W03,WH_BAHIA,108,23,232,46,4,0.5365,3.09,2026-07-24
INV000018,PRD-00018,W01,WH_BAHIA,318,42,426,85,10,0.2553,5.62,2026-07-17
INV000019,PRD-00019,W02,WH_MINAS,172,26,265,53,12,0.3534,2.77,2026-07-08
INV000020,PRD-00020,W04,WH_BAHIA,240,30,307,61,6,0.2208,4.19,2026-07-25
INV000021,PRD-00021,W04,WH_BAHIA,180,36,363,72,11,0.5055,4.45,2026-07-17
INV000022,PRD-00022,W03,WH_SAO_PAULO,313,49,490,98,13,0.3625,6.34,2026-07-12
INV000023,PRD-00023,W03,WH_MINAS,108,25,253,50,13,0.5748,3.05,2026-07-13
INV000024,PRD-00024,W02,WH_RIO,209,40,405,81,12,0.4852,5.56,2026-08-03
INV000025,PRD-00025,W04,WH_RIO,196,30,303,60,5,0.3553,3.4,2026-07-26
INV000026,PRD-00026,W03,WH_BAHIA,134,28,283,56,9,0.5282,3.58,2026-07-14
INV000027,PRD-00027,W03,WH_MINAS,395,46,467,93,8,0.156,5.61,2026-07-11
INV000028,PRD-00028,W02,WH_RIO,226,30,302,60,13,0.2541,3.46,2026-07-15
INV000029,PRD-00029,W01,WH_BAHIA,190,28,286,57,10,0.338,4.2,2026-07-07
INV000030,PRD-00030,W01,WH_BAHIA,287,38,383,76,7,0.2526,4.84,2026-07-19
INV000031,PRD-00031,W02,WH_MINAS,147,20,200,40,13,0.2687,3.11,2026-07-13
INV000032,PRD-00032,W02,WH_BAHIA,244,30,307,61,12,0.2078,4.45,2026-07-10
INV000033,PRD-00033,W01,WH_MINAS,330,40,409,81,2,0.1951,4.97,2026-07-22
INV000034,PRD-00034,W04,WH_SAO_PAULO,61,14,144,28,4,0.5793,1.71,2026-07-16
INV000035,PRD-00035,W03,WH_RIO,134,22,224,44,9,0.4044,3.47,2026-07-30
INV000036,PRD-00036,W03,WH_SAO_PAULO,184,31,311,62,7,0.4103,4.0,2026-07-30
INV000037,PRD-00037,W01,WH_RIO,287,45,458,91,8,0.3747,5.77,2026-07-18
INV000038,PRD-00038,W02,WH_RIO,375,75,752,150,10,0.502,9.23,2026-07-07
INV000039,PRD-00039,W03,WH_BAHIA,119,26,262,52,2,0.5475,2.64,2026-07-15
INV000040,PRD-00040,W04,WH_SAO_PAULO,124,16,169,33,5,0.2706,1.65,2026-07-10
INV000041,PRD-00041,W03,WH_RIO,89,17,176,35,3,0.4972,2.73,2026-08-02
INV000042,PRD-00042,W04,WH_MINAS,125,27,274,54,5,0.5455,3.4,2026-07-09
INV000043,PRD-00043,W04,WH_RIO,475,64,643,128,10,0.2624,7.62,2026-07-08
INV000044,PRD-00044,W03,WH_MINAS,135,16,161,32,12,0.1667,1.89,2026-08-01
INV000045,PRD-00045,W03,WH_BAHIA,236,33,335,67,11,0.2976,4.03,2026-07-27
INV000046,PRD-00046,W02,WH_RIO,336,41,413,82,12,0.1884,5.45,2026-07-24
INV000047,PRD-00047,W02,WH_RIO,205,25,252,50,6,0.1897,2.62,2026-07-07
INV000048,PRD-00048,W02,WH_RIO,224,48,486,97,8,0.54,5.63,2026-07-30
INV000049,PRD-00049,W04,WH_BAHIA,444,58,584,116,7,0.241,7.02,2026-07-18
INV000050,PRD-00050,W01,WH_RIO,134,19,195,39,10,0.3163,2.99,2026-07-26
INV000051,PRD-00051,W02,WH_RIO,375,46,466,93,12,0.197,5.41,2026-07-14
INV000052,PRD-00052,W03,WH_SAO_PAULO,176,39,398,79,2,0.5589,4.93,2026-07-15
INV000053,PRD-00053,W04,WH_MINAS,200,32,323,64,6,0.3827,3.36,2026-07-18
INV000054,PRD-00054,W03,WH_RIO,184,26,264,52,13,0.3057,3.6,2026-07-10
INV000055,PRD-00055,W03,WH_MINAS,348,56,561,112,11,0.3808,6.7,2026-07-09
INV000056,PRD-00056,W01,WH_RIO,137,19,198,39,9,0.3116,2.51,2026-07-24
INV000057,PRD-00057,W02,WH_SAO_PAULO,242,27,279,55,8,0.1357,3.55,2026-07-13
INV000058,PRD-00058,W03,WH_RIO,231,44,443,88,8,0.4797,5.52,2026-07-08
INV000059,PRD-00059,W01,WH_SAO_PAULO,152,37,374,74,11,0.5947,4.07,2026-07-31
INV000060,PRD-00060,W02,WH_SAO_PAULO,381,54,543,108,12,0.2996,6.16,2026-07-29
INV000061,PRD-00061,W03,WH_SAO_PAULO,136,23,232,46,12,0.4163,2.34,2026-07-17
INV000062,PRD-00062,W01,WH_MINAS,385,50,500,100,4,0.2315,5.38,2026-07-21
INV000063,PRD-00063,W01,WH_MINAS,349,42,422,84,4,0.1749,4.95,2026-07-13
INV000064,PRD-00064,W03,WH_BAHIA,194,39,392,78,4,0.5064,4.1,2026-07-23
INV000065,PRD-00065,W04,WH_SAO_PAULO,144,21,213,42,4,0.3271,3.18,2026-07-08
INV000066,PRD-00066,W01,WH_SAO_PAULO,233,44,441,88,8,0.4729,4.75,2026-07-30
INV000067,PRD-00067,W02,WH_BAHIA,218,26,269,53,2,0.1926,3.51,2026-08-04
INV000068,PRD-00068,W04,WH_RIO,209,90,901,180,9,0.7683,10.56,2026-07-11
