campaign_id,campaign_name,channel,budget,impressions,clicks,conversions,conversion_rate,roi,campaign_start,campaign_end,product_category
CMP000001,Promo Facebook 0,Facebook,47080,1742832,19152,1008,0.0526,2.68,2025-12-29,2026-02-05,electronics
CMP000002,Promo Google 1,Google,5807,1477980,7820,230,0.0294,3.28,2026-03-19,2026-04-19,fashion
CMP000003,Promo Email 2,Email,16382,2285750,27875,1115,0.04,4.91,2026-03-19,2026-04-21,electronics
CMP000004,Promo TikTok 3,TikTok,19419,1847286,10206,378,0.037,1.02,2025-11-22,2026-01-19,electronics
CMP000005,Promo Facebook 4,Facebook,35962,5667072,30144,628,0.0208,2.22,2026-06-20,2026-07-30,electronics
CMP000006,Promo Google 5,Google,7522,544732,8786,191,0.0217,2.98,2026-01-01,2026-01-28,electronics
CMP000007,Promo Email 6,Email,21691,2404675,26425,755,0.0286,3.61,2025-09-24,2025-11-10,fashion
CMP000008,Promo TikTok 7,TikTok,30614,1302336,10336,646,0.0625,2.92,2025-09-01,2025-10-15,electronics
CMP000009,Promo Facebook 8,Facebook,33658,764460,5580,558,0.1,2.18,2025-11-29,2025-12-28,electronics
CMP000010,Promo Google 9,Google,24810,905520,6160,560,0.0909,3.1,2026-03-17,2026-04-20,fashion
CMP000011,Promo Email 10,Email,42664,5578650,48510,1386,0.0286,3.01,2025-09-23,2025-11-14,fashion
CMP000012,Promo TikTok 11,TikTok,17548,817156,4148,244,0.0588,1.38,2025-09-09,2025-10-01,electronics
CMP000013,Promo Facebook 12,Facebook,36434,1914640,10520,526,0.05,1.4,2026-04-08,2026-05-29,fashion
CMP000014,Promo Google 13,Google,36887,13611948,103908,2474,0.0238,3.92,2025-10-09,2025-11-12,fashion
CMP000015,Promo Email 14,Email,49170,18256952,94108,3361,0.0357,5.09,2025-12-29,2026-01-16,electronics
CMP000016,Promo TikTok 15,TikTok,8501,302610,2310,66,0.0286,1.15,2026-06-10,2026-06-30,electronics
