operation_id,warehouse_id,processing_time,downtime_minutes,incident_count,utilization,labor_hours,shipment_delay_days,efficiency_score,operation_date
OPS000001,W04,5.34,44,1,0.8921,400,3,0.856,2026-07-07
OPS000002,W03,4.59,38,1,0.762,313,3,0.862,2026-07-07
OPS000003,W02,2.8,52,2,0.7757,236,3,0.748,2026-07-07
OPS000004,W01,5.38,62,2,0.6799,137,3,0.738,2026-07-07
OPS000005,W04,4.1,45,1,0.7213,265,3,0.855,2026-07-08
OPS000006,W03,6.67,52,1,0.8029,394,3,0.848,2026-07-08
OPS000007,W02,5.0,41,1,0.7281,348,4,0.859,2026-07-08
OPS000008,W01,3.8,42,1,0.7059,414,4,0.858,2026-07-08
OPS000009,W04,5.09,57,2,0.6728,176,3,0.743,2026-07-09
OPS000010,W03,6.27,49,1,0.7865,112,4,0.851,2026-07-09
OPS000011,W02,5.38,60,2,0.686,144,4,0.74,2026-07-09
OPS000012,W01,5.12,63,1,0.8859,341,3,0.837,2026-07-09
OPS000013,W04,5.49,48,2,0.9124,288,3,0.752,2026-07-10
OPS000014,W03,2.95,43,2,0.8153,149,4,0.757,2026-07-10
OPS000015,W02,3.62,49,2,0.9166,165,4,0.751,2026-07-10
OPS000016,W01,6.12,42,1,0.6889,354,3,0.858,2026-07-10
OPS000017,W04,3.95,43,1,0.7436,101,3,0.857,2026-07-11
OPS000018,W03,2.9,39,2,0.8536,342,4,0.761,2026-07-11
OPS000019,W02,6.54,48,2,0.6498,290,3,0.752,2026-07-11
OPS000020,W01,3.14,48,1,0.7781,115,3,0.852,2026-07-11
OPS000021,W04,6.49,42,2,0.8729,212,3,0.758,2026-07-12
OPS000022,W03,4.16,55,1,0.9315,421,3,0.845,2026-07-12
OPS000023,W02,3.65,51,2,0.6163,332,3,0.749,2026-07-12
OPS000024,W01,4.48,36,2,0.6401,177,3,0.764,2026-07-12
OPS000025,W04,6.05,48,2,0.6491,487,4,0.752,2026-07-13
OPS000026,W03,4.75,64,1,0.7621,414,3,0.836,2026-07-13
OPS000027,W02,4.33,52,1,0.7395,459,3,0.848,2026-07-13
OPS000028,W01,6.19,46,2,0.7271,228,4,0.754,2026-07-13
OPS000029,W04,3.29,61,1,0.6621,409,4,0.839,2026-07-14
OPS000030,W03,2.76,40,1,0.6959,278,4,0.86,2026-07-14
OPS000031,W02,3.25,61,2,0.6387,202,4,0.739,2026-07-14
OPS000032,W01,2.85,49,2,0.7263,231,4,0.751,2026-07-14
OPS000033,W04,5.72,49,1,0.928,137,4,0.851,2026-07-15
OPS000034,W03,3.76,36,2,0.6487,235,4,0.764,2026-07-15
OPS000035,W02,2.98,52,2,0.752,319,4,0.748,2026-07-15
OPS000036,W01,3.47,46,2,0.909,367,3,0.754,2026-07-15
OPS000037,W04,4.25,54,2,0.7097,493,4,0.746,2026-07-16
OPS000038,W03,5.64,53,2,0.7224,416,3,0.747,2026-07-16
OPS000039,W02,4.46,38,1,0.9433,165,4,0.862,2026-07-16
OPS000040,W01,3.95,53,1,0.9467,249,4,0.847,2026-07-16
OPS000041,W04,5.77,57,2,0.8408,247,3,0.743,2026-07-17
OPS000042,W03,3.33,64,1,0.7584,117,4,0.836,2026-07-17
OPS000043,W02,6.08,43,2,0.8066,360,3,0.757,2026-07-17
OPS000044,W01,4.73,41,2,0.7395,423,3,0.759,2026-07-17
OPS000045,W04,3.11,40,2,0.7456,379,4,0.76,2026-07-18
OPS000046,W03,4.24,62,1,0.8653,440,3,0.838,2026-07-18
OPS000047,W02,3.76,37,1,0.9297,407,3,0.863,2026-07-18
OPS000048,W01,4.17,40,2,0.6351,350,3,0.76,2026-07-18
OPS000049,W04,4.51,38,1,0.7155,396,3,0.862,2026-07-19
OPS000050,W03,6.59,58,1,0.8222,434,4,0.842,2026-07-19
OPS000051,W02,6.32,36,2,0.6346,441,4,0.764,2026-07-19
OPS000052,W01,6.54,53,1,0.8216,443,4,0.847,2026-07-19
OPS000053,W04,4.38,58,1,0.8653,178,3,0.842,2026-07-20
OPS000054,W03,3.81,64,2,0.6971,492,3,0.736,2026-07-20
OPS000055,W02,5.31,39,2,0.7275,127,4,0.761,2026-07-20
OPS000056,W01,4.95,48,2,0.6499,266,4,0.752,2026-07-20
