risk_id,customer_id,financial_risk,operational_risk,customer_risk,overall_risk,risk_category,confidence_score
RSK000001,CUS-000001,0.7442,0.2098,0.3217,0.4261,Medium,0.9549
RSK000002,CUS-000002,0.4669,0.4074,0.2191,0.3311,Low,0.8716
RSK000003,CUS-000003,0.1306,0.1649,0.6505,0.3974,Low,0.9588
RSK000004,CUS-000004,0.6722,0.1147,0.8289,0.639,Medium,0.8245
RSK000005,CUS-000005,0.8487,0.4471,0.213,0.4505,Medium,0.7965
RSK000006,CUS-000006,0.5138,0.1298,0.8211,0.5907,Medium,0.9368
RSK000007,CUS-000007,0.458,0.3649,0.1331,0.2769,Low,0.9049
RSK000008,CUS-000008,0.5115,0.4194,0.1767,0.3257,Low,0.9797
RSK000009,CUS-000009,0.7952,0.1781,0.5827,0.5655,Medium,0.7123
RSK000010,CUS-000010,0.2754,0.2221,0.6487,0.4514,Medium,0.9828
RSK000011,CUS-000011,0.1757,0.3928,0.2789,0.2707,Low,0.9144
RSK000012,CUS-000012,0.4384,0.4385,0.2179,0.3282,Low,0.8944
RSK000013,CUS-000013,0.4597,0.4036,0.2313,0.3343,Low,0.7197
RSK000014,CUS-000014,0.7242,0.2162,0.3609,0.441,Medium,0.7806
RSK000015,CUS-000015,0.5624,0.311,0.3454,0.4036,Medium,0.7465
RSK000016,CUS-000016,0.8736,0.2201,0.2681,0.4401,Medium,0.9194
RSK000017,CUS-000017,0.7532,0.1888,0.4644,0.4959,Medium,0.7994
RSK000018,CUS-000018,0.1739,0.2721,0.1954,0.2043,Low,0.8701
RSK000019,CUS-000019,0.7448,0.1522,0.0101,0.2589,Low,0.7702
RSK000020,CUS-000020,0.2592,0.4148,0.6808,0.5011,Medium,0.8339
RSK000021,CUS-000021,0.6918,0.4483,0.0685,0.3314,Low,0.8839
RSK000022,CUS-000022,0.1782,0.3464,0.0773,0.1614,Low,0.8261
RSK000023,CUS-000023,0.3891,0.3504,0.4642,0.4189,Medium,0.7089
RSK000024,CUS-000024,0.8482,0.246,0.109,0.3582,Low,0.8542
RSK000025,CUS-000025,0.7322,0.2629,0.1172,0.3308,Low,0.8637
RSK000026,CUS-000026,0.6012,0.4312,0.1203,0.3267,Low,0.9052
RSK000027,CUS-000027,0.8909,0.3408,0.4333,0.5521,Medium,0.9278
RSK000028,CUS-000028,0.6731,0.2818,0.259,0.3878,Low,0.8375
RSK000029,CUS-000029,0.2929,0.1618,0.3324,0.2864,Low,0.9571
RSK000030,CUS-000030,0.1958,0.38,0.5077,0.3886,Low,0.7018
RSK000031,CUS-000031,0.7797,0.4834,0.3467,0.5039,Medium,0.978
RSK000032,CUS-000032,0.5798,0.24,0.4753,0.4596,Medium,0.8288
