operating_date,warehouse_id,throughput_units,on_time_delivery_rate,fulfillment_rate,incident_count,labor_hours,downtime_minutes
2023-01-01 00:00:00+00:00,WH-North,1368,0.9497,0.9559,0,52.55,0
2023-01-02 00:00:00+00:00,WH-North,1273,0.9432,0.956,0,61.55,0
2023-01-03 00:00:00+00:00,WH-North,981,0.9242,0.9414,2,40.38,58
2023-01-04 00:00:00+00:00,WH-North,1322,0.8936,0.9671,0,60.61,0
2023-01-05 00:00:00+00:00,WH-North,1345,0.9033,0.9819,0,69.8,0
2023-01-06 00:00:00+00:00,WH-North,904,0.9506,0.9518,0,48.13,0
2023-01-07 00:00:00+00:00,WH-North,1250,0.919,0.958,0,47.38,0
2023-01-08 00:00:00+00:00,WH-North,1507,0.932,0.9801,0,83.14,0
2023-01-09 00:00:00+00:00,WH-North,1390,0.9393,0.9854,0,51.47,0
2023-01-10 00:00:00+00:00,WH-North,1716,0.8571,0.9607,1,66.82,12
2023-01-11 00:00:00+00:00,WH-North,1727,0.9217,0.999,0,67.4,0
2023-01-12 00:00:00+00:00,WH-North,1430,0.9093,0.9508,0,57.99,0
2023-01-13 00:00:00+00:00,WH-North,1659,0.9681,0.9635,0,71.96,0
2023-01-14 00:00:00+00:00,WH-North,1059,0.9664,0.9961,0,47.27,0
2023-01-15 00:00:00+00:00,WH-North,1385,0.8753,0.9733,1,51.15,58
2023-01-16 00:00:00+00:00,WH-North,1545,0.9382,0.9559,1,65.76,23
2023-01-17 00:00:00+00:00,WH-North,1456,0.9318,0.9804,0,59.92,0
2023-01-18 00:00:00+00:00,WH-North,1925,0.8384,0.9222,2,80.41,158
2023-01-19 00:00:00+00:00,WH-North,1508,0.9403,0.9585,0,67.85,0
2023-01-20 00:00:00+00:00,WH-North,1494,0.9302,0.9454,0,63.28,0
2023-01-21 00:00:00+00:00,WH-North,1332,0.8871,0.9878,0,67.09,0
2023-01-22 00:00:00+00:00,WH-North,1383,0.9788,0.9247,1,53.04,84
2023-01-23 00:00:00+00:00,WH-North,1545,0.9352,0.9598,0,59.94,0
2023-01-24 00:00:00+00:00,WH-North,1140,0.9495,0.9981,0,57.99,0
2023-01-25 00:00:00+00:00,WH-North,1215,0.9205,0.9867,0,58.71,0
2023-01-26 00:00:00+00:00,WH-North,1722,0.9429,0.9742,0,66.07,0
2023-01-27 00:00:00+00:00,WH-North,1487,0.9386,0.9804,0,77.4,0
2023-01-28 00:00:00+00:00,WH-North,1558,0.9083,0.9596,0,56.88,0
2023-01-29 00:00:00+00:00,WH-North,1722,0.949,0.958,0,67.92,0
2023-01-30 00:00:00+00:00,WH-North,1081,0.9841,0.9639,0,45.48,0
2023-01-31 00:00:00+00:00,WH-North,1689,0.9293,0.93,0,65.81,0
2023-02-01 00:00:00+00:00,WH-North,1478,0.9429,0.9582,0,67.7,0
2023-02-02 00:00:00+00:00,WH-North,1196,0.9826,0.9222,0,55.67,0
2023-02-03 00:00:00+00:00,WH-North,1666,0.9343,0.9755,0,79.72,0
2023-02-04 00:00:00+00:00,WH-North,1456,0.9349,0.9382,0,74.79,0
2023-02-05 00:00:00+00:00,WH-North,1421,0.9109,0.9667,0,69.59,0
2023-02-06 00:00:00+00:00,WH-North,1370,0.9707,0.9817,0,51.69,0
2023-02-07 00:00:00+00:00,WH-North,1625,0.9301,0.9758,0,86.43,0
2023-02-08 00:00:00+00:00,WH-North,1554,0.9089,0.9808,0,73.6,0
2023-02-09 00:00:00+00:00,WH-North,1509,0.8811,0.926,3,80.56,141
2023-02-10 00:00:00+00:00,WH-North,1301,0.8775,0.9561,1,49.04,12
2023-02-11 00:00:00+00:00,WH-North,1299,0.9337,0.9827,0,61.5,0
2023-02-12 00:00:00+00:00,WH-North,1482,0.9592,0.9816,0,56.5,0
2023-02-13 00:00:00+00:00,WH-North,1550,0.995,0.9525,0,71.76,0
2023-02-14 00:00:00+00:00,WH-North,1643,0.9923,0.9626,0,60.1,0
2023-02-15 00:00:00+00:00,WH-North,1545,0.9552,0.9856,0,83.97,0
2023-02-16 00:00:00+00:00,WH-North,1435,0.9896,0.9633,0,74.71,0
2023-02-17 00:00:00+00:00,WH-North,1506,0.9866,0.9754,0,70.07,0
2023-02-18 00:00:00+00:00,WH-North,1311,0.9683,0.9419,0,65.84,0
2023-02-19 00:00:00+00:00,WH-North,1418,0.887,0.9821,0,51.63,0
2023-02-20 00:00:00+00:00,WH-North,1783,0.899,0.968,1,98.7,64
