supplier_id,supplier_name,supplier_type,region,country,lead_time_days,reliability_score,contract_value
SUP-00001,Supplier 0001,OEM,Asia Pacific,Supplier-Country-01,45,87.34,10919427
SUP-00002,Supplier 0002,Regional Supplier,Asia Pacific,Supplier-Country-02,33,70.73,4462508
SUP-00003,Supplier 0003,OEM,Asia Pacific,Supplier-Country-03,8,91.01,11699510
SUP-00004,Supplier 0004,Distributor,North America,Supplier-Country-04,15,99.0,5749030
SUP-00005,Supplier 0005,OEM,Latin America,Supplier-Country-05,45,65.33,1263103
SUP-00006,Supplier 0006,OEM,Asia Pacific,Supplier-Country-06,18,94.45,6636066
SUP-00007,Supplier 0007,Distributor,Middle East & Africa,Supplier-Country-07,40,99.0,13634325
SUP-00008,Supplier 0008,Strategic Partner,North America,Supplier-Country-08,13,94.49,14793234
SUP-00009,Supplier 0009,Regional Supplier,Middle East & Africa,Supplier-Country-09,40,85.27,7022092
SUP-00010,Supplier 0010,Distributor,Latin America,Supplier-Country-10,22,94.07,9861780
SUP-00011,Supplier 0011,Regional Supplier,North America,Supplier-Country-11,15,85.22,11606427
SUP-00012,Supplier 0012,Regional Supplier,Asia Pacific,Supplier-Country-12,32,90.88,6246477
SUP-00013,Supplier 0013,Distributor,Middle East & Africa,Supplier-Country-13,29,86.75,10515056
SUP-00014,Supplier 0014,Strategic Partner,Latin America,Supplier-Country-14,12,87.0,13119292
SUP-00015,Supplier 0015,Distributor,Europe,Supplier-Country-15,40,79.14,12021473
SUP-00016,Supplier 0016,Regional Supplier,Latin America,Supplier-Country-16,36,81.83,8422613
SUP-00017,Supplier 0017,OEM,North America,Supplier-Country-17,21,99.0,481760
SUP-00018,Supplier 0018,Regional Supplier,North America,Supplier-Country-00,42,80.42,10679782
SUP-00019,Supplier 0019,Distributor,Asia Pacific,Supplier-Country-01,8,68.4,9702296
SUP-00020,Supplier 0020,OEM,North America,Supplier-Country-02,44,99.0,7214156
SUP-00021,Supplier 0021,Distributor,Asia Pacific,Supplier-Country-03,23,82.07,4869917
SUP-00022,Supplier 0022,Strategic Partner,North America,Supplier-Country-04,38,83.58,7064520
SUP-00023,Supplier 0023,OEM,Europe,Supplier-Country-05,41,82.38,5727436
SUP-00024,Supplier 0024,Regional Supplier,Asia Pacific,Supplier-Country-06,39,86.14,2259814
SUP-00025,Supplier 0025,Regional Supplier,Middle East & Africa,Supplier-Country-07,11,79.17,2163311
SUP-00026,Supplier 0026,Strategic Partner,North America,Supplier-Country-08,22,99.0,5045323
SUP-00027,Supplier 0027,Strategic Partner,Europe,Supplier-Country-09,10,84.2,8633637
SUP-00028,Supplier 0028,OEM,Asia Pacific,Supplier-Country-10,16,76.59,445366
SUP-00029,Supplier 0029,Regional Supplier,North America,Supplier-Country-11,30,60.18,10869219
SUP-00030,Supplier 0030,Distributor,North America,Supplier-Country-12,34,95.85,549930
SUP-00031,Supplier 0031,Distributor,Asia Pacific,Supplier-Country-13,15,82.03,3768346
SUP-00032,Supplier 0032,Distributor,Europe,Supplier-Country-14,9,89.38,13739859
