business_insight,root_cause,recommendation,confidence,expected_impact,priority,estimated_roi,estimated_time_to_benefit
Customer CUS-000001 has a critical churn probability of 99.9%.,Declining engagement score combined with elevated order cancellation rates.,Initiate direct VIP outreach to Customer CUS-000001 with a 15% contract renewal discount.,1.0,High Customer Retention,High,320.0,15 days
Customer CUS-000002 has a critical churn probability of 99.9%.,Declining engagement score combined with elevated order cancellation rates.,Initiate direct VIP outreach to Customer CUS-000002 with a 15% contract renewal discount.,1.0,High Customer Retention,High,320.0,15 days
Customer CUS-000003 has a critical churn probability of 99.9%.,Declining engagement score combined with elevated order cancellation rates.,Initiate direct VIP outreach to Customer CUS-000003 with a 15% contract renewal discount.,1.0,High Customer Retention,High,320.0,15 days
Customer CUS-000004 has a critical churn probability of 99.9%.,Declining engagement score combined with elevated order cancellation rates.,Initiate direct VIP outreach to Customer CUS-000004 with a 15% contract renewal discount.,1.0,High Customer Retention,High,320.0,15 days
Customer CUS-000005 has a critical churn probability of 99.9%.,Declining engagement score combined with elevated order cancellation rates.,Initiate direct VIP outreach to Customer CUS-000005 with a 15% contract renewal discount.,1.0,High Customer Retention,High,320.0,15 days
Customer CUS-000006 has a critical churn probability of 99.9%.,Declining engagement score combined with elevated order cancellation rates.,Initiate direct VIP outreach to Customer CUS-000006 with a 15% contract renewal discount.,1.0,High Customer Retention,High,320.0,15 days
Customer CUS-000007 has a critical churn probability of 99.9%.,Declining engagement score combined with elevated order cancellation rates.,Initiate direct VIP outreach to Customer CUS-000007 with a 15% contract renewal discount.,1.0,High Customer Retention,High,320.0,15 days
Customer CUS-000008 has a critical churn probability of 99.9%.,Declining engagement score combined with elevated order cancellation rates.,Initiate direct VIP outreach to Customer CUS-000008 with a 15% contract renewal discount.,1.0,High Customer Retention,High,320.0,15 days
Customer CUS-000010 has a critical churn probability of 99.9%.,Declining engagement score combined with elevated order cancellation rates.,Initiate direct VIP outreach to Customer CUS-000010 with a 15% contract renewal discount.,1.0,High Customer Retention,High,320.0,15 days
Customer CUS-000011 has a critical churn probability of 99.9%.,Declining engagement score combined with elevated order cancellation rates.,Initiate direct VIP outreach to Customer CUS-000011 with a 15% contract renewal discount.,1.0,High Customer Retention,High,320.0,15 days
