category,month_of_year,quantity,quantity_avg,seasonal_index
Analytics,1,16094,16106.083333333334,0.9992497658752127
Analytics,2,13962,16106.083333333334,0.8668774220920666
Analytics,3,17950,16106.083333333334,1.1144857274425295
Analytics,4,16821,16106.083333333334,1.0443879900451691
Analytics,5,19206,16106.083333333334,1.1924686841928256
Analytics,6,18970,16106.083333333334,1.1778158356314643
Analytics,7,20120,16106.083333333334,1.2492174281974202
Analytics,8,14326,16106.083333333334,0.8894775783477257
Analytics,9,12788,16106.083333333334,0.7939857093334299
Analytics,10,13853,16106.083333333334,0.8601097928836412
Analytics,11,13540,16106.083333333334,0.8406761420374289
Analytics,12,15643,16106.083333333334,0.9712479239210857
Automation,1,19980,19487.083333333332,1.0252945327032865
Automation,2,18182,19487.083333333332,0.9330282879685262
Automation,3,21703,19487.083333333332,1.1137120742372084
Automation,4,20940,19487.083333333332,1.074557933674015
Automation,5,23083,19487.083333333332,1.1845282131326307
Automation,6,22023,19487.083333333332,1.130133207894118
Automation,7,24354,19487.083333333332,1.249750903376168
Automation,8,17118,19487.083333333332,0.8784280185593022
Automation,9,15968,19487.083333333332,0.8194145694797836
Automation,10,17121,19487.083333333332,0.8785819666873357
Automation,11,15963,19487.083333333332,0.8191579892663945
Automation,12,17410,19487.083333333332,0.8934123030212321
Finance,1,17780,18354.333333333332,0.9687085701832447
Finance,2,16880,18354.333333333332,0.9196738281604708
Finance,3,18999,18354.333333333332,1.0351234041007573
Finance,4,19729,18354.333333333332,1.0748960281858961
Finance,5,21103,18354.333333333332,1.1497557343406644
Finance,6,20986,18354.333333333332,1.1433812178777039
Finance,7,23318,18354.333333333332,1.2704356827633803
Finance,8,16576,18354.333333333332,0.9031109819661116
Finance,9,15204,18354.333333333332,0.8283602419047273
Finance,10,16008,18354.333333333332,0.8721646114450721
Finance,11,16118,18354.333333333332,0.8781577465811888
Finance,12,17551,18354.333333333332,0.9562319524907833
Operations,1,16117,16671.416666666668,0.9667444778238201
Operations,2,15788,16671.416666666668,0.9470101021208954
Operations,3,17649,16671.416666666668,1.0586382880878948
Operations,4,18955,16671.416666666668,1.1369759618508724
Operations,5,19261,16671.416666666668,1.1553307307417384
Operations,6,19128,16671.416666666668,1.1473530043937477
Operations,7,20641,16671.416666666668,1.2381071394652523
Operations,8,13903,16671.416666666668,0.8339423264369654
Operations,9,13778,16671.416666666668,0.8264444633279515
Operations,10,14581,16671.416666666668,0.874610735940257
Operations,11,14821,16671.416666666668,0.8890066331095637
Operations,12,15435,16671.416666666668,0.9258361367010401
Security,1,18381,19198.0,0.9574434836962183
Security,2,18020,19198.0,0.9386394416085009
Security,3,19562,19198.0,1.0189603083654548
Security,4,21411,19198.0,1.1152724242108554
Security,5,22368,19198.0,1.1651213668090425
Security,6,22242,19198.0,1.1585581831440774
Security,7,24086,19198.0,1.2546098551932492
Security,8,17508,19198.0,0.9119699968746744
Security,9,15586,19198.0,0.8118554016043338
Security,10,16548,19198.0,0.8619647879987499
Security,11,16386,19198.0,0.8535264090009376
Security,12,18278,19198.0,0.9520783414939056
