product_id,product_name,category,subcategory,supplier_id,unit_cost,list_price,margin_rate,demand_score,lifecycle_stage,is_active,lead_time_days,avg_predicted_demand,std_predicted_demand,safety_stock,reorder_point,optimal_inventory_target
PRD-00001,Product 0001,Automation,Scheduling,SUP-00044,1348.65,2177.4,0.615,46.75,Intro,1,33,22.971582864546946,10.616093417615005,18.37,43.64,66.61
PRD-00002,Product 0002,Security,Compliance,SUP-00030,12216.8,16779.41,0.373,67.11,Decline,1,34,30.89303256946537,17.454223754104312,30.66,65.67,96.56
PRD-00003,Product 0003,Security,Compliance,SUP-00128,7599.24,10856.86,0.429,75.28,Growth,1,8,36.95670967960028,18.707681415392667,15.94,25.8,62.76
PRD-00004,Product 0004,Automation,Integration,SUP-00043,6920.72,9437.51,0.364,45.71,Decline,1,26,25.33348275624172,13.449822911298329,20.66,42.62,67.95
PRD-00005,Product 0005,Operations,Procurement,SUP-00042,8503.06,10434.33,0.227,66.27,Mature,1,45,33.55560638069134,14.370104235866801,29.04,79.37,112.93
PRD-00006,Product 0006,Automation,Workflow,SUP-00094,16831.71,25851.96,0.536,17.48,Mature,1,31,13.208726088874212,4.803151459280485,8.06,21.71,34.92
PRD-00007,Product 0007,Automation,Integration,SUP-00100,17611.03,26468.64,0.503,36.63,Mature,1,35,18.864286893197043,11.446164870030735,20.4,42.41,61.27
PRD-00008,Product 0008,Finance,Revenue Ops,SUP-00080,17567.73,24164.91,0.376,83.55,Mature,0,18,35.69399617503025,16.89214282909854,21.59,43.01,78.7
PRD-00009,Product 0009,Security,Risk Scoring,SUP-00020,11655.36,14731.5,0.264,47.01,Growth,1,44,22.132873119785735,11.566784460635326,23.11,55.57,77.7
PRD-00010,Product 0010,Security,Threat Detection,SUP-00067,14562.17,21866.69,0.502,53.07,Mature,1,17,28.585844324316195,14.52976839003636,18.05,34.25,62.84
PRD-00011,Product 0011,Security,Risk Scoring,SUP-00068,3062.28,4057.23,0.325,48.1,Mature,1,17,25.365257348758867,14.260506787941681,17.71,32.08,57.45
PRD-00012,Product 0012,Analytics,Reporting,SUP-00084,9555.36,13325.25,0.395,32.54,Growth,1,11,17.46070514299398,7.884427033986697,7.88,14.28,31.74
PRD-00013,Product 0013,Analytics,Dashboards,SUP-00146,5658.37,7313.05,0.292,44.42,Mature,1,34,22.398496409796856,9.547276498280205,16.77,42.15,64.55
PRD-00014,Product 0014,Security,Threat Detection,SUP-00058,3147.36,4297.94,0.366,61.9,Mature,1,8,29.53008076684286,15.954723928367066,13.59,21.46,50.99
PRD-00015,Product 0015,Analytics,Reporting,SUP-00004,12692.82,20068.85,0.581,55.45,Growth,1,15,26.218713518715383,14.649028927197561,17.09,30.2,56.42
PRD-00016,Product 0016,Automation,Scheduling,SUP-00017,237.82,311.88,0.311,80.25,Decline,1,21,36.40099560004232,16.610007497983524,22.93,48.41,84.81
PRD-00017,Product 0017,Analytics,Dashboards,SUP-00025,15588.29,21053.34,0.351,51.48,Growth,0,11,28.1799592407257,14.548438666352958,14.54,24.87,53.05
PRD-00018,Product 0018,Operations,Procurement,SUP-00139,17859.19,25062.7,0.403,61.8,Mature,0,41,31.076760880470175,13.868487561080505,26.75,69.22,100.3
PRD-00019,Product 0019,Finance,Revenue Ops,SUP-00103,5818.39,7593.27,0.305,52.75,Decline,1,14,27.18523394423144,13.521154389349771,15.24,27.93,55.12
PRD-00020,Product 0020,Analytics,Dashboards,SUP-00048,2450.93,3936.8,0.606,77.88,Decline,1,22,31.114849615272497,14.752763772418515,20.85,43.67,74.78
PRD-00021,Product 0021,Finance,Budgeting,SUP-00128,14239.19,17458.04,0.226,37.64,Mature,1,8,19.418087469657472,10.683511791932007,9.1,14.28,33.7
PRD-00022,Product 0022,Security,Compliance,SUP-00157,14429.4,17806.23,0.234,70.12,Decline,1,16,28.88331656740586,12.83109691568232,15.46,30.86,59.74
PRD-00023,Product 0023,Analytics,Forecasting,SUP-00070,14088.78,20521.18,0.457,68.88,Mature,1,37,29.507670514809185,14.853403779590199,27.22,63.61,93.12
PRD-00024,Product 0024,Automation,RPA,SUP-00126,12723.75,18423.81,0.448,48.04,Growth,1,30,28.30507752690725,11.781903185045554,19.44,47.75,76.06
PRD-00025,Product 0025,Automation,Integration,SUP-00122,14220.37,18560.7,0.305,60.31,Mature,1,19,29.971370460534946,12.552398098275795,16.48,35.46,65.43
PRD-00026,Product 0026,Automation,Integration,SUP-00043,15542.67,18860.72,0.213,68.58,Intro,1,26,31.452225055045478,15.497449748669471,23.81,51.07,82.52
PRD-00027,Product 0027,Automation,Scheduling,SUP-00156,691.71,856.26,0.238,50.24,Mature,1,22,25.97687281658035,11.436677771171341,16.16,35.21,61.19
PRD-00028,Product 0028,Finance,Expense Control,SUP-00151,17849.07,22807.07,0.278,49.88,Growth,1,26,28.711021885836296,15.030217489811198,23.09,47.97,76.68
PRD-00029,Product 0029,Security,Compliance,SUP-00112,13783.13,18689.83,0.356,41.09,Growth,0,26,23.38999231800294,12.251883733412344,18.82,39.09,62.48
PRD-00030,Product 0030,Analytics,Reporting,SUP-00156,9843.8,14041.45,0.426,96.38,Growth,1,22,36.68867013895665,18.48417405976705,26.12,53.03,89.72
PRD-00031,Product 0031,Automation,RPA,SUP-00071,7230.89,10503.76,0.453,54.06,Growth,1,43,25.98937322685284,13.122819440991002,25.92,63.17,89.16
PRD-00032,Product 0032,Automation,RPA,SUP-00113,17786.99,26432.23,0.486,41.16,Mature,1,44,25.66817923109007,14.07701758572946,28.13,65.78,91.45
PRD-00033,Product 0033,Finance,Planning,SUP-00101,1739.39,2089.73,0.201,31.94,Growth,1,19,21.66544548340448,8.001963790046892,10.51,24.23,45.9
PRD-00034,Product 0034,Finance,Expense Control,SUP-00096,13844.07,19666.52,0.421,48.35,Decline,1,33,29.248129131292917,12.910316822052014,22.34,54.51,83.76
PRD-00035,Product 0035,Analytics,Dashboards,SUP-00050,2507.04,3007.04,0.199,66.54,Intro,1,11,27.621676581758386,13.911873460718825,13.9,24.03,51.65
PRD-00036,Product 0036,Operations,Logistics,SUP-00057,10098.44,14811.01,0.467,57.66,Growth,1,31,26.06027586609759,11.346967320198717,19.03,45.96,72.02
PRD-00037,Product 0037,Security,IAM,SUP-00016,8423.27,11120.66,0.32,67.96,Growth,1,36,32.93419006741503,14.961254509269446,27.04,66.56,99.49
PRD-00038,Product 0038,Automation,RPA,SUP-00080,2002.55,2898.51,0.447,74.16,Mature,1,18,30.99048719763771,14.814366133633618,18.93,37.52,68.51
PRD-00039,Product 0039,Automation,Workflow,SUP-00024,3274.48,4551.13,0.39,59.43,Intro,1,39,27.218643074200124,13.187876843296946,24.81,60.19,87.41
PRD-00040,Product 0040,Operations,Procurement,SUP-00081,6554.83,10086.42,0.539,59.83,Decline,1,14,28.79201565692688,12.642693189082395,14.25,27.69,56.48
PRD-00041,Product 0041,Security,Risk Scoring,SUP-00071,5901.09,7217.15,0.223,88.62,Growth,1,43,33.60884865091022,19.957322413696115,39.42,87.59,121.2
PRD-00042,Product 0042,Analytics,Forecasting,SUP-00022,4285.28,6063.82,0.415,74.52,Growth,1,38,33.00089266633223,14.759222138108623,27.41,69.21,102.21
PRD-00043,Product 0043,Automation,RPA,SUP-00046,8794.96,11584.53,0.317,68.54,Mature,1,40,34.4626548537405,15.878886235573916,30.25,76.2,110.66
PRD-00044,Product 0044,Analytics,Dashboards,SUP-00142,10739.27,12731.91,0.186,56.17,Intro,1,14,26.212285693085825,14.66786510037417,16.53,28.76,54.97
PRD-00045,Product 0045,Analytics,Dashboards,SUP-00008,12898.71,18274.53,0.417,73.48,Mature,1,13,35.38750519101075,15.374489421995909,16.7,32.03,67.42
PRD-00046,Product 0046,Analytics,Reporting,SUP-00034,5866.85,8941.89,0.524,67.99,Growth,1,29,32.49039417559896,16.3835903839924,26.58,57.99,90.48
PRD-00047,Product 0047,Finance,Budgeting,SUP-00061,11711.63,16982.83,0.45,67.35,Mature,1,26,31.254281213919597,15.895773483452942,24.42,51.51,82.76
PRD-00048,Product 0048,Automation,Workflow,SUP-00118,10975.31,13177.69,0.201,74.19,Growth,1,13,31.731067764758468,16.49465453136305,17.92,31.67,63.4
