order_month,revenue,gross_margin,order_count,cogs,opex,ebitda,cash_balance,debt_balance,dscr,month_index,revenue_lag_1,revenue_lag_2,gross_margin_lag_1,gross_margin_lag_2,ebitda_lag_1,ebitda_lag_2,cash_balance_lag_1,cash_balance_lag_2,revenue_roll_mean_2,revenue_roll_std_2,revenue_roll_mean_3,revenue_roll_std_3,gross_margin_roll_mean_2,gross_margin_roll_std_2,gross_margin_roll_mean_3,gross_margin_roll_std_3,ebitda_roll_mean_2,ebitda_roll_std_2,ebitda_roll_mean_3,ebitda_roll_std_3,cash_balance_roll_mean_2,cash_balance_roll_std_2,cash_balance_roll_mean_3,cash_balance_roll_std_3,revenue_robust_scaled,gross_margin_robust_scaled,ebitda_robust_scaled,cash_balance_robust_scaled,debt_balance_robust_scaled
2023-01,5616561.44,2238116.31,57,3378445.13,1394938.84,843177.47,2850582.14,1255805.32,0.604,0,,,,,,,,,,,,,,,,,,,,,,,,,-0.7987789769892002,-0.7990144586874446,-0.9355196257925353,-0.44922466814413736,0.9536928516087737
2023-02,13379063.27,5672493.95,128,7706569.32,3692476.88,1980017.07,4744334.32,1264385.1,0.536,1,,,,,,,,,,,,,,,,,,,,,,,,,-0.777084604683644,-0.7759378296118802,-0.9084331139335267,-0.44737648491180343,0.9962149299861354
2023-03,23023285.78,9852430.64,226,13170855.14,6357896.32,3494534.32,8374617.24,1231673.33,0.55,2,,,,,,,,,,,,,,,,,,,,,,,,,-0.750131264341621,-0.7478515622687022,-0.8723479973939566,-0.44383355670174995,0.8340927720983781
2023-04,34140202.08,14323918.39,346,19816283.69,8337441.35,5986477.04,14334347.52,1225051.77,0.718,3,,,,,,,,,,,,,,,,,,,,,,,,,-0.719062090203738,-0.7178062745808054,-0.812974594112394,-0.4380172341179107,0.8012757892269753
2023-05,44454257.62,18654093.9,441,25800163.72,10900033.19,7754060.71,22074413.73,1232824.9,0.711,4,,,,,,,,,,,,,,,,,,,,,,,,,-0.6902367236189362,-0.6887105068607584,-0.7708598788621115,-0.4304634154411309,0.8398000454546891
2023-06,57575547.38,23730072.3,539,33845475.08,17976025.5,5754046.8,27771401.02,1202388.18,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,-0.6535657956866046,-0.6546034624378927,-0.8185125120844213,-0.42490351351975203,0.6889532179847768
2023-07,72104710.44,30048885.78,690,42055824.66,23720925.33,6327960.45,34186765.94,1211602.64,0.5,6,,,,,,,,,,,,,,,,,,,,,,,,,-0.612960192027536,-0.6121454306893409,-0.8048383588557934,-0.41864252013335906,0.734620821387785
2023-08,88203562.74,36152035.99,812,52051526.75,28671435.59,7480600.4,41684136.18,1181766.61,0.5,7,,,,,,,,,,,,,,,,,,,,,,,,,-0.567967675035323,-0.5711365061178941,-0.7773753854734077,-0.41132555748613064,0.5867510617751492
2023-09,92621131.03,38646785.58,868,53974345.45,24220273.96,14426511.62,56086564.72,1191668.06,0.596,8,,,,,,,,,,,,,,,,,,,,,,,,,-0.555621607586025,-0.5543735240118126,-0.611881056605772,-0.39726969145802365,0.6358234427627181
2023-10,111041477.71,46264119.03,1082,64777358.68,21864928.44,24399190.59,80350703.42,1174211.08,1.116,9,,,,,,,,,,,,,,,,,,,,,,,,,-0.5041410581929261,-0.5031903412065171,-0.37427050258654937,-0.3735894154610002,0.5493052486141466
