customer_id,customer_name,segment,industry,region,country,signup_date,employee_count,annual_revenue,engagement_score,customer_health_score,churn_risk_score,churn_flag,total_orders,total_revenue,total_margin,recent_order_count,recent_revenue,recent_avg_discount,recent_avg_shipping_days,recent_last_order,days_since_last_order,order_velocity,revenue_90d_target,signup_year,signup_month,signup_quarter,signup_dayofweek,signup_day,signup_is_month_start,signup_is_month_end,recent_order_year,recent_order_month,recent_order_quarter,recent_order_dayofweek,recent_order_day,recent_order_is_month_start,recent_order_is_month_end,recent_revenue_ratio,customer_value_proxy,segment_frequency,industry_frequency,region_frequency,total_orders_standard_scaled,total_revenue_standard_scaled,recent_revenue_standard_scaled,days_since_last_order_standard_scaled,customer_value_proxy_standard_scaled
CUS-000001,Customer 00001,SMB,Government,Europe,Country-01,2025-03-21 00:00:00+00:00,4662,3268098,53.96,8.62,100.0,1,5.0,362352.83,117031.32,2,287670.16,0.1014999999999999,16.0,2026-06-04 00:00:00+00:00,61,0.082,270848.08,2025,3,1,4,21,0,0,2026,6,2,3,4,0,0,0.08802372511473033,211914.892,0.294,0.100375,0.211125,-0.6985674669958639,-0.7900450012554334,-0.16561707037304432,-0.44050060224107707,-0.2737705533569185
CUS-000002,Customer 00002,Mid-Market,Technology,Europe,Country-02,2024-10-28 00:00:00+00:00,19327,16025885,75.12,43.53,62.12,1,21.0,2009336.67,907554.11,5,307315.37,0.09202,14.0,2026-05-05 00:00:00+00:00,91,0.2308,316076.89,2024,10,4,0,28,0,0,2026,5,2,1,5,0,0,0.019176187149726832,239323.0595,0.419125,0.098625,0.211125,0.4191404801975183,0.28403691875454673,-0.12180731475756652,-0.3588605880800765,-0.21371876606449108
CUS-000003,Customer 00003,SMB,Retail,North America,Country-03,2023-07-06 00:00:00+00:00,8323,3134033,54.12,32.65,65.78,1,7.0,867866.88,450207.86,2,293800.45,0.10665,8.0,2026-07-27 00:00:00+00:00,8,0.875,370279.51,2023,7,3,3,6,0,0,2026,7,3,0,27,0,0,0.0937451679672805,268993.0085,0.294,0.099375,0.319625,-0.5588539735966911,-0.46037358115454097,-0.1519462311836435,-0.5847312939255115,-0.14871137487990466
CUS-000004,Customer 00004,Mid-Market,Education,Middle East & Africa,Country-04,2025-06-15 00:00:00+00:00,13475,24289792,55.52,21.33,79.8,1,6.0,424131.69,159742.88,2,109787.09,0.01935,4.0,2026-05-10 00:00:00+00:00,86,0.0698,121551.48,2025,6,2,6,15,0,0,2026,5,2,6,10,0,0,0.004519885966911532,88202.85399999999,0.419125,0.09575,0.1235,-0.6287107202962775,-0.7497558648636473,-0.5623048036592205,-0.3724672571069099,-0.5448258507053712
CUS-000005,Customer 00005,Enterprise,Government,North America,Country-05,2025-06-12 00:00:00+00:00,22717,687997643,79.93,42.52,62.48,1,30.0,3141292.35,1438131.75,11,635252.38,0.0717818181818181,10.727272727272728,2026-08-01 00:00:00+00:00,3,10.0,767913.61,2025,6,2,3,12,0,0,2026,8,3,5,1,1,0,0.0009233351109024075,772870.7155,0.286875,0.100375,0.319625,1.0478512004937959,1.0222427836892038,0.6095078641267765,-0.5983379629523449,0.9552937317059356
CUS-000006,Customer 00006,SMB,Healthcare,North America,Country-06,2023-02-06 00:00:00+00:00,4710,2394501,22.53,12.89,92.34,1,7.0,1197925.85,531128.11,1,15139.04,0.0,3.0,2026-03-12 00:00:00+00:00,145,0.0483,17573.31,2023,2,1,0,6,0,0,2026,3,1,3,12,0,0,0.00632241957718957,13413.774500000001,0.294,0.100625,0.319625,-0.5588539735966911,-0.2451253415518278,-0.7733744710224871,-0.21190856259027546,-0.7086900672360984
CUS-000007,Customer 00007,SMB,Telecom,North America,Country-07,2023-01-24 00:00:00+00:00,10695,357108,19.38,0.0,100.0,1,5.0,734427.72,198671.5,0,0.0,0.0,0.0,,999,0.005,0.0,2023,1,1,1,24,0,0,0,0,0,0,0,0,0,0.0,125.0,0.294,0.098375,0.319625,-0.6985674669958639,-0.5473960434862412,-0.8071352525388437,2.1121105071928743,-0.737806010855862
CUS-000008,Customer 00008,SMB,Retail,Middle East & Africa,Country-08,2023-08-09 00:00:00+00:00,4391,4972128,50.54,10.21,99.99,1,7.0,399461.92,203476.94,2,34132.62,0.0953,13.5,2026-07-09 00:00:00+00:00,26,0.2692,39452.98,2023,8,3,2,9,0,0,2026,7,3,3,9,0,0,0.006864791091460236,34191.591,0.294,0.099375,0.1235,-0.5588539735966911,-0.7658442764705302,-0.7310178813976868,-0.5357472854289111,-0.6631654980776864
CUS-000009,Customer 00009,Enterprise,Education,Latin America,Country-09,2024-12-15 00:00:00+00:00,10935,969851692,90.31,77.56,31.17,0,42.0,4181422.06,1639573.49,9,201653.26,0.0624888888888888,11.666666666666666,2026-07-29 00:00:00+00:00,6,7.0,208847.57,2024,12,4,6,15,0,0,2026,7,3,2,29,0,0,0.00020792174892653588,328757.9535,0.286875,0.09575,0.15975,1.8861321608888326,1.7005642637446632,-0.35743886142546816,-0.5901739615362448,-0.01776530689912399
CUS-000010,Customer 00010,Mid-Market,Logistics,Europe,Country-10,2024-06-21 00:00:00+00:00,7548,20048172,40.76,29.59,65.06,1,12.0,1326986.1,593905.53,3,459472.17,0.0863,12.333333333333334,2026-08-03 00:00:00+00:00,1,12.0,475491.91,2024,6,2,4,21,0,0,2026,8,3,0,3,0,0,0.022918407224359408,650211.0364999999,0.419125,0.10575,0.211125,-0.20957024009875916,-0.16095858912214517,0.21750960897260102,-0.6037806305630783,0.6865441718287408
CUS-000011,Customer 00011,Mid-Market,Retail,Middle East & Africa,Country-11,2024-04-06 00:00:00+00:00,22889,10825765,58.21,24.82,70.26,1,8.0,850058.59,382456.37,1,85846.95,0.1206,4.0,2026-04-15 00:00:00+00:00,111,0.0721,93882.52,2024,4,2,5,6,0,0,2026,4,2,2,15,0,0,0.007929873777973197,69000.162,0.419125,0.099375,0.1235,-0.48899722689710473,-0.4719872727104305,-0.615692458095102,-0.3044339119727428,-0.5868992937922173
CUS-000012,Customer 00012,SMB,Logistics,North America,Country-12,2024-01-09 00:00:00+00:00,7592,3871325,50.14,32.18,60.88,1,5.0,512398.52,240307.75,1,97608.69,0.1586,2.0,2026-02-19 00:00:00+00:00,166,0.0301,84565.22,2024,1,1,1,9,0,0,2026,2,1,3,19,0,0,0.02521325127701756,69393.803,0.294,0.10575,0.319625,-0.6985674669958639,-0.6921925761797738,-0.5894632167170364,-0.15476055267757505,-0.5860368192907177
CUS-000013,Customer 00013,Mid-Market,Telecom,Middle East & Africa,Country-13,2024-03-07 00:00:00+00:00,15362,9145346,49.4,27.86,75.1,1,10.0,1291064.36,635815.88,1,1035.28,0.0665,17.0,2026-03-18 00:00:00+00:00,139,0.0719,1290.89,2024,3,1,3,7,0,0,2026,3,1,2,18,0,0,0.00011320293403879962,2663.4235000000003,0.419125,0.098375,0.1235,-0.34928373349793196,-0.184384982588944,-0.8048265287433947,-0.22823656542247558,-0.7322442793727156
CUS-000014,Customer 00014,SMB,Technology,North America,Country-14,2024-07-27 00:00:00+00:00,3438,4831241,39.25,6.85,89.87,1,2.0,380706.74,153787.19,1,170479.63,0.0581,5.0,2026-04-09 00:00:00+00:00,117,0.0171,168101.0,2024,7,3,5,27,0,0,2026,4,2,3,9,0,0,0.03528692317356969,127454.70199999999,0.294,0.098625,0.319625,-0.908137707094623,-0.7780754831498458,-0.4269575436868095,-0.2881059091405427,-0.4588243467036647
CUS-000015,Customer 00015,Mid-Market,Healthcare,Europe,Country-15,2023-02-27 00:00:00+00:00,11414,2922644,66.59,25.63,78.54,1,8.0,340148.43,146698.96,0,0.0,0.0,0.0,,999,0.008,0.0,2023,2,1,0,27,0,0,0,0,0,0,0,0,0,0.0,200.0,0.419125,0.100625,0.211125,-0.48899722689710473,-0.8045256197080527,-0.8071352525388437,2.1121105071928743,-0.7376416845087271
CUS-000016,Customer 00016,Enterprise,Education,North America,Country-16,2024-06-11 00:00:00+00:00,20870,861693126,73.51,71.88,33.3,0,49.0,4941975.86,1976373.92,9,1257247.58,0.0821555555555555,10.11111111111111,2026-08-02 00:00:00+00:00,2,24.5,1381821.9,2024,6,2,1,11,0,0,2026,8,3,6,2,0,0,0.0014590432975091414,1599036.697,0.286875,0.09575,0.319625,2.3751293877859374,2.19656007495729,1.996586836863653,-0.6010592967577115,2.76543823659768
CUS-000017,Customer 00017,Mid-Market,Telecom,Middle East & Africa,Country-17,2023-07-18 00:00:00+00:00,16809,9372945,59.58,22.64,79.09,1,9.0,584687.12,219704.56,1,193819.67,0.0,13.0,2026-04-18 00:00:00+00:00,108,0.0833,250896.58,2023,7,3,1,18,0,0,2026,4,2,5,18,0,0,0.020678630889224253,167424.17099999997,0.419125,0.098375,0.1235,-0.4191404801975183,-0.645049503857441,-0.3749081408829975,-0.31259791338884285,-0.37125052220119586
