campaign_id,campaign_name,start_date,end_date,budget,leads_generated,conversion_rate,attributed_revenue,campaign_start_year,campaign_start_month,campaign_start_quarter,campaign_start_dayofweek,campaign_start_day,campaign_start_is_month_start,campaign_start_is_month_end,campaign_duration_days,cost_per_lead,revenue_per_budget,channel_frequency,target_segment_frequency,channel_target_encoded,target_segment_target_encoded,channel_Content,channel_Email,channel_Events,channel_Partner,channel_Search,channel_Social,target_segment_Enterprise,target_segment_Mid-Market,target_segment_SMB,budget_standard_scaled,leads_generated_standard_scaled,conversion_rate_standard_scaled,attributed_revenue_standard_scaled,cost_per_lead_standard_scaled
MKT-00001,Campaign 0001,2025-03-14 00:00:00+00:00,2025-04-16 00:00:00+00:00,353787,4510,0.0299,1942996.12,2025,3,1,4,14,0,0,33,78.4450110864745,5.491994109450037,0.16875,0.2520833333333333,2935005.225015562,2828093.8678722903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.44659014237617334,-0.4596821756449647,-0.7425651602331571,-0.4929347094965107,-0.06283815326855456
MKT-00002,Campaign 0002,2024-12-10 00:00:00+00:00,2025-01-25 00:00:00+00:00,278977,4960,0.0482,2089934.29,2024,12,4,1,10,0,0,46,56.245362903225804,7.491421479190041,0.16791666666666666,0.3254166666666667,2855926.099785614,2755334.291556837,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.7376348623167792,-0.36194990945527006,0.38375363729411777,-0.409409794022816,-0.9193331013665718
MKT-00003,Campaign 0003,2023-12-09 00:00:00+00:00,2023-12-23 00:00:00+00:00,915221,8948,0.0734,3673297.84,2023,12,4,5,9,0,0,14,102.28218596334376,4.013563762195142,0.16875,0.2520833333333333,2935005.225015562,2828093.8678722903,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.7376419294743026,0.5041751517991794,1.934750014216923,0.49063072422971965,0.8568349735503306
MKT-00004,Campaign 0004,2025-06-27 00:00:00+00:00,2025-07-26 00:00:00+00:00,303133,4962,0.0454,2289439.68,2025,6,2,4,27,0,0,29,61.090890769850866,7.552591370784442,0.15833333333333333,0.4225,2745646.1699524573,2841772.1179897054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6436571019253171,-0.3615155438277603,0.21142070652491743,-0.29600378905966374,-0.7323855378567976
MKT-00005,Campaign 0005,2026-01-21 00:00:00+00:00,2026-03-20 00:00:00+00:00,618517,6991,0.0474,3565506.41,2026,1,1,2,21,0,0,58,88.47332284365613,5.764605354420332,0.15958333333333333,0.2520833333333333,2694009.023235263,2828093.8678722903,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5833292361811931,0.07914838528088511,0.33451565707434605,0.4293582170279582,0.3240688052146534
MKT-00006,Campaign 0006,2023-06-03 00:00:00+00:00,2023-06-29 00:00:00+00:00,830041,7378,0.072,2978024.23,2023,6,2,5,3,0,0,26,112.50216860937924,3.587803771139016,0.15958333333333333,0.4225,2694009.023235263,2841772.1179897054,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.406253221486857,0.1631981342040225,1.848583548832322,0.09541231701571545,1.2511368757121795
MKT-00007,Campaign 0007,2023-08-02 00:00:00+00:00,2023-10-21 00:00:00+00:00,130532,1387,0.0413,1104904.12,2023,8,3,2,2,0,0,80,94.11103100216295,8.464622621272946,0.1675,0.3254166666666667,2698290.221362763,2755334.291556837,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.3151530210065698,-1.1379441030014457,-0.04092394210141188,-0.9693362017648557,0.5415798448830953
MKT-00008,Campaign 0008,2025-10-11 00:00:00+00:00,2025-12-17 00:00:00+00:00,891912,12767,0.0266,3782242.03,2025,10,4,5,11,0,0,67,69.86073470666562,4.240600003139323,0.16791666666666666,0.4225,2855926.099785614,2841772.1179897054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.6469593819927417,1.3335963175290546,-0.9456718286397149,0.5525585014784776,-0.3940321114652149
MKT-00009,Campaign 0009,2023-06-14 00:00:00+00:00,2023-07-31 00:00:00+00:00,548424,6615,0.0476,1884044.39,2023,6,2,2,14,0,0,47,82.90612244897959,3.435379177424766,0.1675,0.2520833333333333,2698290.221362763,2828093.8678722903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31063577869159437,-0.002512352690948646,0.3468251521292893,-0.5264449830032386,0.10927805836453999
MKT-00010,Campaign 0010,2024-08-24 00:00:00+00:00,2024-11-03 00:00:00+00:00,66999,583,0.0681,413313.64,2024,8,3,5,24,0,0,71,114.92109777015438,6.168952372423469,0.15833333333333333,0.3254166666666667,2745646.1699524573,2755334.291556837,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5623251128657667,-1.3125590852603666,1.6085483952609354,-1.3624609860493744,1.344462706324856
