customer_id,customer_name,segment,industry,region,country,signup_date,employee_count,annual_revenue,engagement_score,customer_health_score,churn_risk_score,churn_flag,total_orders,total_revenue,total_margin,recent_order_count,recent_revenue,recent_avg_discount,recent_avg_shipping_days,recent_last_order,days_since_last_order,order_velocity,revenue_90d_target
CUS-000001,Customer 00001,SMB,Government,Europe,Country-01,2025-03-21 00:00:00+00:00,4662,3268098,53.96,8.62,100.0,1,5.0,362352.83,117031.32,2,287670.16,0.1014999999999999,16.0,2026-06-04 00:00:00+00:00,61,0.082,270848.08
CUS-000002,Customer 00002,Mid-Market,Technology,Europe,Country-02,2024-10-28 00:00:00+00:00,19327,16025885,75.12,43.53,62.12,1,21.0,2009336.67,907554.11,5,307315.37,0.09202,14.0,2026-05-05 00:00:00+00:00,91,0.2308,316076.89
CUS-000003,Customer 00003,SMB,Retail,North America,Country-03,2023-07-06 00:00:00+00:00,8323,3134033,54.12,32.65,65.78,1,7.0,867866.88,450207.86,2,293800.45,0.10665,8.0,2026-07-27 00:00:00+00:00,8,0.875,370279.51
CUS-000004,Customer 00004,Mid-Market,Education,Middle East & Africa,Country-04,2025-06-15 00:00:00+00:00,13475,24289792,55.52,21.33,79.8,1,6.0,424131.69,159742.88,2,109787.09,0.01935,4.0,2026-05-10 00:00:00+00:00,86,0.0698,121551.48
CUS-000005,Customer 00005,Enterprise,Government,North America,Country-05,2025-06-12 00:00:00+00:00,22717,687997643,79.93,42.52,62.48,1,30.0,3141292.35,1438131.75,11,635252.38,0.0717818181818181,10.727272727272728,2026-08-01 00:00:00+00:00,3,10.0,767913.61
CUS-000006,Customer 00006,SMB,Healthcare,North America,Country-06,2023-02-06 00:00:00+00:00,4710,2394501,22.53,12.89,92.34,1,7.0,1197925.85,531128.11,1,15139.04,0.0,3.0,2026-03-12 00:00:00+00:00,145,0.0483,17573.31
CUS-000007,Customer 00007,SMB,Telecom,North America,Country-07,2023-01-24 00:00:00+00:00,10695,357108,19.38,0.0,100.0,1,5.0,734427.72,198671.5,0,0.0,0.0,0.0,Unknown,999,0.005,0.0
CUS-000008,Customer 00008,SMB,Retail,Middle East & Africa,Country-08,2023-08-09 00:00:00+00:00,4391,4972128,50.54,10.21,99.99,1,7.0,399461.92,203476.94,2,34132.62,0.0953,13.5,2026-07-09 00:00:00+00:00,26,0.2692,39452.98
CUS-000009,Customer 00009,Enterprise,Education,Latin America,Country-09,2024-12-15 00:00:00+00:00,10935,969851692,90.31,77.56,31.17,0,42.0,4181422.06,1639573.49,9,201653.26,0.0624888888888888,11.666666666666666,2026-07-29 00:00:00+00:00,6,7.0,208847.57
CUS-000010,Customer 00010,Mid-Market,Logistics,Europe,Country-10,2024-06-21 00:00:00+00:00,7548,20048172,40.76,29.59,65.06,1,12.0,1326986.1,593905.53,3,459472.17,0.0863,12.333333333333334,2026-08-03 00:00:00+00:00,1,12.0,475491.91
