order_month,revenue,gross_margin,order_count,cogs,opex,ebitda,cash_balance,debt_balance,dscr
2023-01,5616561.44,2238116.31,57,3378445.13,1394938.84,843177.47,2850582.14,1255805.32,0.604
2023-02,13379063.27,5672493.95,128,7706569.32,3692476.88,1980017.07,4744334.32,1264385.1,0.536
2023-03,23023285.78,9852430.64,226,13170855.14,6357896.32,3494534.32,8374617.24,1231673.33,0.55
2023-04,34140202.08,14323918.39,346,19816283.69,8337441.35,5986477.04,14334347.52,1225051.77,0.718
2023-05,44454257.62,18654093.9,441,25800163.72,10900033.19,7754060.71,22074413.73,1232824.9,0.711
2023-06,57575547.38,23730072.3,539,33845475.08,17976025.5,5754046.8,27771401.02,1202388.18,0.5
2023-07,72104710.44,30048885.78,690,42055824.66,23720925.33,6327960.45,34186765.94,1211602.64,0.5
2023-08,88203562.74,36152035.99,812,52051526.75,28671435.59,7480600.4,41684136.18,1181766.61,0.5
2023-09,92621131.03,38646785.58,868,53974345.45,24220273.96,14426511.62,56086564.72,1191668.06,0.596
2023-10,111041477.71,46264119.03,1082,64777358.68,21864928.44,24399190.59,80350703.42,1174211.08,1.116
2023-11,115785145.59,49131281.21,1117,66653864.38,32463038.05,16668243.16,97170251.59,1151708.58,0.513
2023-12,129271167.64,54252471.77,1291,75018695.87,24885842.1,29366629.67,126528158.46,1161048.47,1.18
2024-01,148845336.73,61650661.27,1394,87194675.46,41894486.76,19756174.51,146346881.7,1161771.38,0.5
2024-02,154700150.09,64029089.38,1498,90671060.71,51402705.73,12626383.65,158780417.08,1134641.6,0.5
2024-03,191354921.61,80557707.76,1812,110797213.85,37520804.09,43036903.67,201938686.88,1133869.03,1.147
2024-04,196752605.51,81321880.67,1830,115430724.84,35714270.82,45607609.85,247486297.41,1111852.05,1.277
2024-05,210972204.34,85640420.35,2053,125331783.99,65174132.66,20466287.69,267995502.98,1113754.38,0.5
2024-06,219582733.66,92535117.68,2129,127047615.98,54960111.87,37575005.81,305597999.4,1112002.31,0.684
2024-07,246740118.21,100073530.64,2355,146666587.57,77943126.16,22130404.48,327654746.23,1085242.65,0.5
2024-08,274563290.15,115000680.74,2570,159562609.41,59514405.9,55486274.84,383221609.77,1086008.65,0.932
2024-09,279495629.41,116491591.16,2707,163004038.25,76921969.12,39569622.04,422723572.46,1071378.54,0.514
2024-10,303362538.28,125811178.6,2955,177551359.68,102505208.35,23305970.25,446016715.39,1057416.81,0.5
2024-11,312727576.63,128986790.09,2931,183740786.54,94743634.0,34243156.09,480286020.99,1049656.85,0.5
2024-12,357298591.43,148877123.57,3330,208421467.86,103950145.94,44926977.63,525312569.91,1042463.84,0.5
2025-01,373095700.81,154353029.25,3542,218742671.56,115175261.27,39177767.98,564398521.96,1040724.08,0.5
2025-02,342971779.31,142552230.2,3309,200419549.11,88021579.37,54530650.83,619016519.45,1069336.12,0.62
2025-03,417167146.55,172269248.11,3946,244897898.44,109273911.61,62995336.5,681929894.75,1017708.51,0.576
2025-04,437315662.54,182473241.04,4122,254842421.5,141827699.21,40645541.83,722460803.15,1024377.66,0.5
2025-05,471634414.21,196756275.31,4463,274878138.9,116013034.61,80743240.7,803291751.65,1001250.0,0.696
2025-06,459049931.86,190776670.39,4395,268273261.47,113269809.09,77506861.3,880844570.23,983324.31,0.684
2025-07,489962917.55,203837793.46,4709,286125124.09,129584376.87,74253416.59,955009057.41,960720.32,0.573
2025-08,505304174.55,212213985.69,4792,293090188.86,101741562.42,110472423.27,1065404097.44,984069.52,1.086
2025-09,487231747.94,202833818.19,4627,284397929.75,146394262.95,56439555.24,1122014067.79,955666.4,0.5
2025-10,498461603.57,206825943.32,4651,291635660.25,119446339.77,87379603.55,1209336830.69,966935.1,0.732
2025-11,474740765.92,198688845.15,4491,276051920.77,145759842.98,52929002.17,1262341666.94,925754.02,0.5
2025-12,487572034.01,200146534.21,4769,287425499.8,95479691.64,104666842.57,1367005596.95,940031.47,1.096
2026-01,500948590.21,208901785.93,4772,292046804.28,131061402.05,77840383.88,1444911942.72,954897.52,0.594
2026-02,452280739.35,188783063.65,4339,263497675.7,143716738.62,45066325.03,1489727084.58,909144.19,0.5
2026-03,481990508.82,200901375.45,4708,281089133.37,115010409.94,85890965.51,1575742496.71,924454.19,0.747
2026-04,489704418.03,202860912.37,4623,286843505.66,153156793.58,49704118.79,1625551361.69,943276.51,0.5
2026-05,501050899.29,207422250.91,4728,293628648.38,124043890.3,83378360.61,1708775326.09,893077.12,0.672
2026-06,471039312.65,194527779.2,4491,276511533.45,88190950.01,106336829.19,1815277338.26,894550.32,1.206
2026-07,502804009.07,207855677.76,4752,294948331.31,166955029.15,40900648.61,1856072422.62,893035.59,0.5
2026-08,62445803.41,26285202.78,610,36160600.63,12860905.1,13424297.68,1869414249.76,853775.3,1.044
