campaign_id,campaign_name,channel,target_segment,start_date,end_date,budget,leads_generated,conversion_rate,attributed_revenue
MKT-00001,Campaign 0001,Social,SMB,2025-03-14 00:00:00+00:00,2025-04-16 00:00:00+00:00,353787,4510,0.0299,1942996.12
MKT-00002,Campaign 0002,Content,Enterprise,2024-12-10 00:00:00+00:00,2025-01-25 00:00:00+00:00,278977,4960,0.0482,2089934.29
MKT-00003,Campaign 0003,Social,SMB,2023-12-09 00:00:00+00:00,2023-12-23 00:00:00+00:00,915221,8948,0.0734,3673297.84
MKT-00004,Campaign 0004,Events,Mid-Market,2025-06-27 00:00:00+00:00,2025-07-26 00:00:00+00:00,303133,4962,0.0454,2289439.68
MKT-00005,Campaign 0005,Search,SMB,2026-01-21 00:00:00+00:00,2026-03-20 00:00:00+00:00,618517,6991,0.0474,3565506.41
MKT-00006,Campaign 0006,Search,Mid-Market,2023-06-03 00:00:00+00:00,2023-06-29 00:00:00+00:00,830041,7378,0.072,2978024.23
MKT-00007,Campaign 0007,Email,Enterprise,2023-08-02 00:00:00+00:00,2023-10-21 00:00:00+00:00,130532,1387,0.0413,1104904.12
MKT-00008,Campaign 0008,Content,Mid-Market,2025-10-11 00:00:00+00:00,2025-12-17 00:00:00+00:00,891912,12767,0.0266,3782242.03
MKT-00009,Campaign 0009,Email,SMB,2023-06-14 00:00:00+00:00,2023-07-31 00:00:00+00:00,548424,6615,0.0476,1884044.39
MKT-00010,Campaign 0010,Events,Enterprise,2024-08-24 00:00:00+00:00,2024-11-03 00:00:00+00:00,66999,583,0.0681,413313.64
MKT-00011,Campaign 0011,Email,SMB,2025-03-17 00:00:00+00:00,2025-04-17 00:00:00+00:00,29268,317,0.056,118087.3
MKT-00012,Campaign 0012,Content,Mid-Market,2025-01-18 00:00:00+00:00,2025-03-10 00:00:00+00:00,822106,9738,0.0451,2855275.03
MKT-00013,Campaign 0013,Social,SMB,2023-11-17 00:00:00+00:00,2024-01-28 00:00:00+00:00,434824,6053,0.0111,3029139.92
MKT-00014,Campaign 0014,Email,SMB,2026-01-30 00:00:00+00:00,2026-03-20 00:00:00+00:00,763983,7420,0.0172,2906653.61
MKT-00015,Campaign 0015,Email,Enterprise,2023-04-19 00:00:00+00:00,2023-06-15 00:00:00+00:00,227478,4505,0.0473,1958042.34
MKT-00016,Campaign 0016,Events,Mid-Market,2024-08-20 00:00:00+00:00,2024-10-01 00:00:00+00:00,188616,1897,0.0364,1461140.78
MKT-00017,Campaign 0017,Events,Mid-Market,2025-05-05 00:00:00+00:00,2025-07-31 00:00:00+00:00,788089,9231,0.0405,6368149.67
MKT-00018,Campaign 0018,Content,SMB,2025-10-08 00:00:00+00:00,2026-01-03 00:00:00+00:00,445372,10331,0.0576,3093664.87
MKT-00019,Campaign 0019,Search,Enterprise,2023-01-23 00:00:00+00:00,2023-03-07 00:00:00+00:00,101383,919,0.0219,633986.92
MKT-00020,Campaign 0020,Search,SMB,2024-01-09 00:00:00+00:00,2024-02-13 00:00:00+00:00,455235,5240,0.032,3201816.52
MKT-00021,Campaign 0021,Email,Enterprise,2025-12-17 00:00:00+00:00,2026-01-23 00:00:00+00:00,276654,3070,0.0612,1793583.43
MKT-00022,Campaign 0022,Email,Mid-Market,2025-08-12 00:00:00+00:00,2025-09-11 00:00:00+00:00,204109,2345,0.0219,1576663.88
MKT-00023,Campaign 0023,Events,Mid-Market,2023-03-26 00:00:00+00:00,2023-05-19 00:00:00+00:00,623504,5316,0.0606,2642468.6
MKT-00024,Campaign 0024,Content,Mid-Market,2025-12-11 00:00:00+00:00,2026-03-08 00:00:00+00:00,362597,4306,0.0476,1429421.78
MKT-00025,Campaign 0025,Content,Enterprise,2025-03-27 00:00:00+00:00,2025-06-25 00:00:00+00:00,276757,2664,0.04,1936245.26
MKT-00026,Campaign 0026,Email,Mid-Market,2023-08-04 00:00:00+00:00,2023-09-30 00:00:00+00:00,163397,1960,0.0443,705608.66
MKT-00027,Campaign 0027,Events,Enterprise,2023-09-15 00:00:00+00:00,2023-11-14 00:00:00+00:00,769598,7192,0.0479,6685553.77
MKT-00028,Campaign 0028,Events,Mid-Market,2024-07-27 00:00:00+00:00,2024-08-20 00:00:00+00:00,523321,4949,0.0525,2113949.58
MKT-00029,Campaign 0029,Events,Mid-Market,2025-03-30 00:00:00+00:00,2025-05-13 00:00:00+00:00,844133,6793,0.0094,5828648.15
MKT-00030,Campaign 0030,Events,SMB,2025-10-26 00:00:00+00:00,2026-01-10 00:00:00+00:00,324165,3657,0.0623,2485486.43
MKT-00031,Campaign 0031,Content,Enterprise,2024-05-23 00:00:00+00:00,2024-07-15 00:00:00+00:00,23230,344,0.0459,111298.02
MKT-00032,Campaign 0032,Email,Mid-Market,2024-02-14 00:00:00+00:00,2024-04-16 00:00:00+00:00,434672,3731,0.0604,3023825.44
MKT-00033,Campaign 0033,Events,SMB,2025-04-02 00:00:00+00:00,2025-06-04 00:00:00+00:00,323258,3450,0.0492,2766670.28
MKT-00034,Campaign 0034,Email,Mid-Market,2025-03-11 00:00:00+00:00,2025-05-26 00:00:00+00:00,464854,5152,0.0769,3969952.65
MKT-00035,Campaign 0035,Email,Enterprise,2025-04-27 00:00:00+00:00,2025-06-19 00:00:00+00:00,455425,4470,0.0306,1834919.82
MKT-00036,Campaign 0036,Content,SMB,2023-04-27 00:00:00+00:00,2023-06-26 00:00:00+00:00,491825,6114,0.0679,1888120.98
MKT-00037,Campaign 0037,Search,Enterprise,2024-03-07 00:00:00+00:00,2024-03-27 00:00:00+00:00,734521,7412,0.0282,3603575.51
MKT-00038,Campaign 0038,Partner,Mid-Market,2023-12-12 00:00:00+00:00,2024-03-02 00:00:00+00:00,183972,1489,0.0507,649643.19
MKT-00039,Campaign 0039,Search,Mid-Market,2026-02-05 00:00:00+00:00,2026-03-31 00:00:00+00:00,899396,9040,0.059,3587191.61
MKT-00040,Campaign 0040,Content,Enterprise,2025-01-28 00:00:00+00:00,2025-04-09 00:00:00+00:00,29723,287,0.0423,159014.64
MKT-00041,Campaign 0041,Search,Mid-Market,2025-02-13 00:00:00+00:00,2025-04-14 00:00:00+00:00,495467,5054,0.0108,1620255.26
MKT-00042,Campaign 0042,Content,Mid-Market,2024-05-23 00:00:00+00:00,2024-07-29 00:00:00+00:00,534942,5786,0.0441,1921084.23
MKT-00043,Campaign 0043,Content,Mid-Market,2025-12-03 00:00:00+00:00,2026-01-20 00:00:00+00:00,724446,7833,0.0345,6233012.42
MKT-00044,Campaign 0044,Search,Mid-Market,2025-01-27 00:00:00+00:00,2025-04-17 00:00:00+00:00,292010,2359,0.0564,2110661.17
MKT-00045,Campaign 0045,Content,Enterprise,2024-12-16 00:00:00+00:00,2025-01-01 00:00:00+00:00,654318,6938,0.0278,3238266.99
MKT-00046,Campaign 0046,Content,Enterprise,2024-09-27 00:00:00+00:00,2024-11-01 00:00:00+00:00,76252,1945,0.0333,295370.44
MKT-00047,Campaign 0047,Social,Enterprise,2023-11-16 00:00:00+00:00,2023-12-16 00:00:00+00:00,413493,7643,0.0312,2432791.27
MKT-00048,Campaign 0048,Search,Enterprise,2025-12-04 00:00:00+00:00,2025-12-24 00:00:00+00:00,356797,5966,0.037,2335066.25
MKT-00049,Campaign 0049,Search,Mid-Market,2024-05-31 00:00:00+00:00,2024-07-19 00:00:00+00:00,885431,9208,0.0434,4190512.16
MKT-00050,Campaign 0050,Content,Enterprise,2023-05-19 00:00:00+00:00,2023-06-05 00:00:00+00:00,909741,18321,0.0511,5799293.25
MKT-00051,Campaign 0051,Content,SMB,2023-07-25 00:00:00+00:00,2023-09-05 00:00:00+00:00,815456,7067,0.0499,4677178.84
MKT-00052,Campaign 0052,Events,Enterprise,2024-12-18 00:00:00+00:00,2025-01-15 00:00:00+00:00,575466,11465,0.0215,3893915.93
