product_id,product_name,category,subcategory,supplier_id,unit_cost,list_price,margin_rate,demand_score,lifecycle_stage,is_active
PRD-00001,Product 0001,Automation,Scheduling,SUP-00044,1348.65,2177.4,0.615,46.75,Intro,1
PRD-00002,Product 0002,Security,Compliance,SUP-00030,12216.8,16779.41,0.373,67.11,Decline,1
PRD-00003,Product 0003,Security,Compliance,SUP-00128,7599.24,10856.86,0.429,75.28,Growth,1
PRD-00004,Product 0004,Automation,Integration,SUP-00043,6920.72,9437.51,0.364,45.71,Decline,1
PRD-00005,Product 0005,Operations,Procurement,SUP-00042,8503.06,10434.33,0.227,66.27,Mature,1
PRD-00006,Product 0006,Automation,Workflow,SUP-00094,16831.71,25851.96,0.536,17.48,Mature,1
PRD-00007,Product 0007,Automation,Integration,SUP-00100,17611.03,26468.64,0.503,36.63,Mature,1
PRD-00008,Product 0008,Finance,Revenue Ops,SUP-00080,17567.73,24164.91,0.376,83.55,Mature,0
PRD-00009,Product 0009,Security,Risk Scoring,SUP-00020,11655.36,14731.5,0.264,47.01,Growth,1
PRD-00010,Product 0010,Security,Threat Detection,SUP-00067,14562.17,21866.69,0.502,53.07,Mature,1
PRD-00011,Product 0011,Security,Risk Scoring,SUP-00068,3062.28,4057.23,0.325,48.1,Mature,1
PRD-00012,Product 0012,Analytics,Reporting,SUP-00084,9555.36,13325.25,0.395,32.54,Growth,1
PRD-00013,Product 0013,Analytics,Dashboards,SUP-00146,5658.37,7313.05,0.292,44.42,Mature,1
PRD-00014,Product 0014,Security,Threat Detection,SUP-00058,3147.36,4297.94,0.366,61.9,Mature,1
PRD-00015,Product 0015,Analytics,Reporting,SUP-00004,12692.82,20068.85,0.581,55.45,Growth,1
PRD-00016,Product 0016,Automation,Scheduling,SUP-00017,237.82,311.88,0.311,80.25,Decline,1
PRD-00017,Product 0017,Analytics,Dashboards,SUP-00025,15588.29,21053.34,0.351,51.48,Growth,0
PRD-00018,Product 0018,Operations,Procurement,SUP-00139,17859.19,25062.7,0.403,61.8,Mature,0
PRD-00019,Product 0019,Finance,Revenue Ops,SUP-00103,5818.39,7593.27,0.305,52.75,Decline,1
PRD-00020,Product 0020,Analytics,Dashboards,SUP-00048,2450.93,3936.8,0.606,77.88,Decline,1
PRD-00021,Product 0021,Finance,Budgeting,SUP-00128,14239.19,17458.04,0.226,37.64,Mature,1
PRD-00022,Product 0022,Security,Compliance,SUP-00157,14429.4,17806.23,0.234,70.12,Decline,1
PRD-00023,Product 0023,Analytics,Forecasting,SUP-00070,14088.78,20521.18,0.457,68.88,Mature,1
PRD-00024,Product 0024,Automation,RPA,SUP-00126,12723.75,18423.81,0.448,48.04,Growth,1
PRD-00025,Product 0025,Automation,Integration,SUP-00122,14220.37,18560.7,0.305,60.31,Mature,1
PRD-00026,Product 0026,Automation,Integration,SUP-00043,15542.67,18860.72,0.213,68.58,Intro,1
PRD-00027,Product 0027,Automation,Scheduling,SUP-00156,691.71,856.26,0.238,50.24,Mature,1
PRD-00028,Product 0028,Finance,Expense Control,SUP-00151,17849.07,22807.07,0.278,49.88,Growth,1
PRD-00029,Product 0029,Security,Compliance,SUP-00112,13783.13,18689.83,0.356,41.09,Growth,0
PRD-00030,Product 0030,Analytics,Reporting,SUP-00156,9843.8,14041.45,0.426,96.38,Growth,1
PRD-00031,Product 0031,Automation,RPA,SUP-00071,7230.89,10503.76,0.453,54.06,Growth,1
PRD-00032,Product 0032,Automation,RPA,SUP-00113,17786.99,26432.23,0.486,41.16,Mature,1
PRD-00033,Product 0033,Finance,Planning,SUP-00101,1739.39,2089.73,0.201,31.94,Growth,1
PRD-00034,Product 0034,Finance,Expense Control,SUP-00096,13844.07,19666.52,0.421,48.35,Decline,1
PRD-00035,Product 0035,Analytics,Dashboards,SUP-00050,2507.04,3007.04,0.199,66.54,Intro,1
PRD-00036,Product 0036,Operations,Logistics,SUP-00057,10098.44,14811.01,0.467,57.66,Growth,1
PRD-00037,Product 0037,Security,IAM,SUP-00016,8423.27,11120.66,0.32,67.96,Growth,1
PRD-00038,Product 0038,Automation,RPA,SUP-00080,2002.55,2898.51,0.447,74.16,Mature,1
PRD-00039,Product 0039,Automation,Workflow,SUP-00024,3274.48,4551.13,0.39,59.43,Intro,1
PRD-00040,Product 0040,Operations,Procurement,SUP-00081,6554.83,10086.42,0.539,59.83,Decline,1
PRD-00041,Product 0041,Security,Risk Scoring,SUP-00071,5901.09,7217.15,0.223,88.62,Growth,1
PRD-00042,Product 0042,Analytics,Forecasting,SUP-00022,4285.28,6063.82,0.415,74.52,Growth,1
PRD-00043,Product 0043,Automation,RPA,SUP-00046,8794.96,11584.53,0.317,68.54,Mature,1
